slug,name,vendor,homepage,pricing_url,docs_url,repo,ecosystem,stack,license,license_source,open_source,pricing_model,price_min_usd,price_max_usd,price_evidence,price_checked_at,price_points,price_unmeasurable,last_commit_at,last_release_at,last_release_tag,releases_12mo,stars,forks,open_issues,contributors,includes,support_model,support_source,docs_pages,docs_kind,evidence_level,active,archived,logo_url,summary,summary_source,changelog_url,changelog_source,edition_of,edition_label,refreshed_at
jumpstart,Jumpstart,Chris Oliver,https://github.com/excid3/jumpstart,,,excid3/jumpstart,Rails,"[""rails"",""ruby"",""postgres"",""devise""]",MIT,https://github.com/excid3/jumpstart,true,free,0,0,,,[],false,2025-02-07T19:11:47+00:00,,,0,1199,314,0,35,"{""ci"":{""value"":true,""source"":""file: .github/workflows/ci.yml""},""auth"":{""value"":true,""source"":""file: app/views/devise/sessions/new.html.erb""},""i18n"":{""value"":false,""source"":""not found in repo tree or manifests""},""admin"":{""value"":false,""source"":""not found in repo tree or manifests""},""roles"":{""value"":false,""source"":""not found in repo tree or manifests""},""teams"":{""value"":false,""source"":""not found in repo tree or manifests""},""tests"":{""value"":true,""source"":""file: test/template_test.rb""},""billing"":{""value"":false,""source"":""not found in repo tree or manifests""},""blog_cms"":{""value"":false,""source"":""not found in repo tree or manifests""},""webhooks"":{""value"":false,""source"":""not found in repo tree or manifests""},""file_uploads"":{""value"":false,""source"":""not found in repo tree or manifests""},""social_login"":{""value"":true,""source"":""file: app/controllers/users/omniauth_callbacks_controller.rb""},""background_jobs"":{""value"":false,""source"":""not found in repo tree or manifests""},""transactional_email"":{""value"":true,""source"":""file: app/views/devise/mailer/email_changed.html.erb""}}",GitHub issues,https://github.com/excid3/jumpstart/issues,,none,documented,true,true,https://github.com/excid3.png?size=160,Easily jumpstart a new Rails application with a bunch of great features by default,https://github.com/excid3/jumpstart,,,,,2026-09-04T05:41:13.132+00:00
jumpstart-pro,Jumpstart Pro,Chris Oliver,https://jumpstartrails.com,https://jumpstartrails.com/#pricing,https://jumpstartrails.com/docs,,Rails,"[""rails"",""ruby"",""postgres"",""stripe"",""hotwire""]",Proprietary (vendor licence),https://jumpstartrails.com/,false,unknown,199,749,…Easy Upgrades Build Unlimited Rails Apps iOS Single Site Build one application with Jumpstart Pro iOS $199 /year Get Started What's included Authentication Tab Bar Navigation Push Notifications API Integration…,2026-09-04T05:41:39.016+00:00,"[{""value"":199,""source"":""https://jumpstartrails.com/pricing"",""context"":""…Easy Upgrades Build Unlimited Rails Apps iOS Single Site Build one application with Jumpstart Pro iOS $199 /year Get Started What's included Authentication Tab Bar Navigation Push Notifications API Integration…""},{""value"":249,""source"":""https://jumpstartrails.com/pricing"",""context"":""…straightforward pricing Ruby on Rails iOS Android Rails Single Site Build one application with Jumpstart Pro $249 /year Get Started What's included Payments Multitenancy & Accounts Authentication Social Logins…""},{""value"":599,""source"":""https://jumpstartrails.com/pricing"",""context"":""…Easy Upgrades Build One iOS App iOS Unlimited Best value Build unlimited apps with Jumpstart Pro iOS $599 /year Get Started What's included Authentication Tab Bar Navigation Push Notifications API Integration…""},{""value"":749,""source"":""https://jumpstartrails.com/pricing"",""context"":""…Easy Upgrades Build One Rails App Rails Unlimited Best value Build unlimited apps with Jumpstart Pro $749 /year Get Started What's included Payments Multitenancy & Accounts Authentication Social Logins…""}]",false,,,,,,,,,"{""ci"":{""value"":false,""source"":""not claimed on https://jumpstartrails.com/""},""auth"":{""value"":true,""source"":""vendor page \""authentication\"" — https://jumpstartrails.com/""},""i18n"":{""value"":true,""source"":""vendor page \""internationalization\"" — https://jumpstartrails.com/""},""admin"":{""value"":true,""source"":""vendor page \""admin dashboard\"" — https://jumpstartrails.com/""},""roles"":{""value"":true,""source"":""vendor page \""role\"" — https://jumpstartrails.com/docs""},""teams"":{""value"":true,""source"":""vendor page \""team\"" — https://jumpstartrails.com/""},""tests"":{""value"":false,""source"":""not claimed on https://jumpstartrails.com/""},""billing"":{""value"":true,""source"":""vendor page \""stripe\"" — https://jumpstartrails.com/""},""blog_cms"":{""value"":false,""source"":""not claimed on https://jumpstartrails.com/""},""webhooks"":{""value"":true,""source"":""vendor page \""webhook\"" — https://jumpstartrails.com/""},""file_uploads"":{""value"":false,""source"":""not claimed on https://jumpstartrails.com/""},""social_login"":{""value"":true,""source"":""vendor page \""social login\"" — https://jumpstartrails.com/""},""background_jobs"":{""value"":false,""source"":""not claimed on https://jumpstartrails.com/""},""transactional_email"":{""value"":false,""source"":""not claimed on https://jumpstartrails.com/""}}",,,51,site,documented,true,false,https://jumpstartrails.com/favicon.ico,,https://jumpstartrails.com/,,,,,2026-09-04T05:41:38.688+00:00
kostra,Kostra,Kostra,https://kostra.io,,https://github.com/advantailabs/kostra-boilerplate#readme,advantailabs/kostra-boilerplate,Next.js,"[""nextjs"",""react"",""typescript"",""prisma"",""postgres"",""stripe"",""aws"",""docker""]",MIT,https://github.com/advantailabs/kostra-boilerplate/blob/main/LICENSE,true,free,0,0,,,[],false,2026-07-20T13:27:41+00:00,2026-07-20T13:28:20+00:00,v1.0.0,1,28,2,16,1,"{""ci"":{""value"":true,""source"":""file: .github/workflows/ci.yml""},""auth"":{""value"":true,""source"":""file: src/app/api/auth/forgot-password/route.ts""},""i18n"":{""value"":false,""source"":""not found in repo tree or manifests""},""admin"":{""value"":true,""source"":""file: src/app/api/admin/users/[id]/restore/route.ts""},""roles"":{""value"":true,""source"":""file: src/lib/routes/permissions.ts""},""teams"":{""value"":true,""source"":""file: src/components/icons/Teams.tsx""},""tests"":{""value"":true,""source"":""dependency: jest""},""billing"":{""value"":true,""source"":""dependency: stripe""},""blog_cms"":{""value"":true,""source"":""file: src/app/(branding)/blog/[slug]/page.tsx""},""webhooks"":{""value"":true,""source"":""dependency: svix""},""file_uploads"":{""value"":true,""source"":""dependency: @aws-sdk/client-s3""},""social_login"":{""value"":false,""source"":""not found in repo tree or manifests""},""background_jobs"":{""value"":false,""source"":""not found in repo tree or manifests""},""transactional_email"":{""value"":true,""source"":""dependency: resend""}}",GitHub issues,https://github.com/advantailabs/kostra-boilerplate/issues,,readme,documented,true,false,https://github.com/advantailabs.png?size=160,"Open-source Next.js SaaS boilerplate with auth, billing, and file storage — MIT licensed",https://github.com/advantailabs/kostra-boilerplate,,,,,2026-09-04T05:41:48.01+00:00
larafast,LaraFast,LaraFast,https://larafast.com,https://larafast.com/#pricing,https://docs.larafast.com,,Laravel,"[""laravel"",""php"",""mysql"",""stripe"",""livewire""]",Proprietary (vendor licence),https://larafast.com/,false,unknown,,,,2026-09-04T05:41:42.72+00:00,[],true,,,,,,,,,"{""ci"":{""value"":false,""source"":""not claimed on https://larafast.com/""},""auth"":{""value"":true,""source"":""vendor page \""magic link\"" — https://docs.larafast.com/larafast-installer""},""i18n"":{""value"":false,""source"":""not claimed on https://larafast.com/""},""admin"":{""value"":false,""source"":""not claimed on https://larafast.com/""},""roles"":{""value"":true,""source"":""vendor page \""role\"" — https://docs.larafast.com/larafast-installer""},""teams"":{""value"":true,""source"":""vendor page \""team\"" — https://docs.larafast.com/larafast-installer""},""tests"":{""value"":false,""source"":""not claimed on https://larafast.com/""},""billing"":{""value"":true,""source"":""vendor page \""stripe\"" — https://docs.larafast.com/larafast-installer""},""blog_cms"":{""value"":true,""source"":""vendor page \""blog\"" — https://docs.larafast.com/larafast-installer""},""webhooks"":{""value"":true,""source"":""vendor page \""webhook\"" — https://docs.larafast.com/larafast-installer""},""file_uploads"":{""value"":false,""source"":""not claimed on https://larafast.com/""},""social_login"":{""value"":false,""source"":""not claimed on https://larafast.com/""},""background_jobs"":{""value"":false,""source"":""not claimed on https://larafast.com/""},""transactional_email"":{""value"":false,""source"":""not claimed on https://larafast.com/""}}",,,,site,documented,true,false,https://larafast.com/favicon.ico,Larafast - Laravel SaaS Starter Kit with all the necessary features to transform your idea into reality in just a matter of hours.,https://larafast.com/,,,,,2026-09-04T05:41:39.471+00:00
laravel-jetstream,Laravel Jetstream,Laravel,https://jetstream.laravel.com,,https://jetstream.laravel.com/introduction.html,laravel/jetstream,Laravel,"[""laravel"",""php"",""livewire"",""inertia"",""mysql""]",MIT,https://github.com/laravel/jetstream,true,free,0,0,,,[],false,2026-07-25T20:52:37+00:00,2026-05-19T18:41:49+00:00,v5.5.3,5,4061,827,3,100,"{""ci"":{""value"":true,""source"":""file: .github/workflows/dependabot-auto-merge.yml""},""auth"":{""value"":true,""source"":""dependency: laravel/fortify""},""i18n"":{""value"":false,""source"":""not found in repo tree or manifests""},""admin"":{""value"":false,""source"":""not found in repo tree or manifests""},""roles"":{""value"":true,""source"":""file: src/Role.php""},""teams"":{""value"":true,""source"":""file: src/Team.php""},""tests"":{""value"":true,""source"":""file: .github/workflows/tests.yml""},""billing"":{""value"":false,""source"":""not found in repo tree or manifests""},""blog_cms"":{""value"":false,""source"":""not found in repo tree or manifests""},""webhooks"":{""value"":false,""source"":""not found in repo tree or manifests""},""file_uploads"":{""value"":false,""source"":""not found in repo tree or manifests""},""social_login"":{""value"":false,""source"":""not found in repo tree or manifests""},""background_jobs"":{""value"":false,""source"":""not found in repo tree or manifests""},""transactional_email"":{""value"":true,""source"":""file: stubs/resources/views/emails/team-invitation.blade.php""}}",GitHub issues,https://github.com/laravel/jetstream/issues,,site,documented,true,false,https://github.com/laravel.png?size=160,Tailwind scaffolding for the Laravel framework.,https://github.com/laravel/jetstream,,,,,2026-09-04T05:41:08.691+00:00
launchfast,LaunchFast,LaunchFast,https://launchfa.st,https://launchfa.st/#pricing,https://www.launchfa.st/documentation,,Next.js,"[""nextjs"",""svelte"",""react"",""stripe"",""lemonsqueezy""]",Proprietary (vendor licence),https://www.launchfa.st/,false,one_time,49,200,…Cloudflare Workers Cloudflare Pages Netlify Render Fly.io AWS Amplify Node.js Get your starter kit - $49 Open Demo Trusted by 110+ developers in production Featured on Why LaunchFast Tired of ripping out…,2026-09-04T05:41:45.821+00:00,"[{""value"":49,""source"":""https://www.launchfa.st/"",""context"":""…Cloudflare Workers Cloudflare Pages Netlify Render Fly.io AWS Amplify Node.js Get your starter kit - $49 Open Demo Trusted by 110+ developers in production Featured on Why LaunchFast Tired of ripping out…""},{""value"":149,""source"":""https://www.launchfa.st/"",""context"":""…like the ultimate indie hacker tool @rishi_raj_jain_ 😉 Nathan Lawson @nathanlawsn I'd charge more. At $149 you'd still be cheaper than the most popular boilerplates on the market. Akash Bhadange @designerdada…""},{""value"":200,""source"":""https://www.launchfa.st/"",""context"":""…up fast. LaunchFast is battle-tested plumbing you clone once and ship on. Prompt it with AI 2-4 weeks $200+ in tool spend Even strong models need weeks of prompting before auth, webhooks, and deploy configs…""}]",false,,,,,,,,,"{""ci"":{""value"":false,""source"":""not claimed on https://www.launchfa.st/""},""auth"":{""value"":true,""source"":""vendor page \""authentication\"" — https://www.launchfa.st/""},""i18n"":{""value"":true,""source"":""vendor page \""i18n\"" — https://www.launchfa.st/""},""admin"":{""value"":false,""source"":""not claimed on https://www.launchfa.st/""},""roles"":{""value"":false,""source"":""not claimed on https://www.launchfa.st/""},""teams"":{""value"":true,""source"":""vendor page \""team\"" — https://www.launchfa.st/""},""tests"":{""value"":false,""source"":""not claimed on https://www.launchfa.st/""},""billing"":{""value"":true,""source"":""vendor page \""stripe\"" — https://www.launchfa.st/""},""blog_cms"":{""value"":true,""source"":""vendor page \""blog\"" — https://www.launchfa.st/""},""webhooks"":{""value"":true,""source"":""vendor page \""webhook\"" — https://www.launchfa.st/""},""file_uploads"":{""value"":true,""source"":""vendor page \""file upload\"" — https://www.launchfa.st/""},""social_login"":{""value"":true,""source"":""vendor page \""oauth\"" — https://www.launchfa.st/""},""background_jobs"":{""value"":false,""source"":""not claimed on https://www.launchfa.st/""},""transactional_email"":{""value"":true,""source"":""vendor page \""transactional email\"" — https://www.launchfa.st/""}}",,,,site,documented,true,false,https://ik.imagekit.io/vjeqenuhn/launchfast-website/purple-icon.png,"Skip weeks of auth, payments, and infra setup. Production-ready SaaS starter kits with swap-any provider integrations. Trusted by 110+ developers shipping in…",https://www.launchfa.st/,,,,,2026-09-04T05:41:44.616+00:00
makerkit,Makerkit,Makerkit,https://makerkit.dev,https://makerkit.dev/pricing,https://makerkit.dev/docs,,Next.js,"[""nextjs"",""react"",""supabase"",""postgres"",""stripe"",""turborepo""]",Proprietary (vendor licence),https://makerkit.dev/,false,one_time,349,649,…lasts. MakerKit does - with an MCP server and agent rules your AI builds on. Get lifetime access for only $ 349 Get Makerkit Join us on Discord Dark Light About MakerKit What makes MakerKit different The Next.js…,2026-09-04T05:41:34.112+00:00,"[{""value"":349,""source"":""https://makerkit.dev/"",""context"":""…lasts. MakerKit does - with an MCP server and agent rules your AI builds on. Get lifetime access for only $ 349 Get Makerkit Join us on Discord Dark Light About MakerKit What makes MakerKit different The Next.js…""},{""value"":649,""source"":""https://makerkit.dev/"",""context"":""…1 user (only you) Discord Support Teams A B2B SaaS Starter Kit for teams of developers or companies. $ 649 /lifetime Buy Supabase Kit (Teams) Next.js 16, React Router 8, and TanStack Start Supabase-native…""}]",false,,,,,,,,,"{""ci"":{""value"":false,""source"":""not claimed on https://makerkit.dev/""},""auth"":{""value"":true,""source"":""vendor page \""authentication\"" — https://makerkit.dev/""},""i18n"":{""value"":true,""source"":""vendor page \""internationalization\"" — https://makerkit.dev/""},""admin"":{""value"":true,""source"":""vendor page \""admin panel\"" — https://makerkit.dev/""},""roles"":{""value"":true,""source"":""vendor page \""role\"" — https://makerkit.dev/""},""teams"":{""value"":true,""source"":""vendor page \""team\"" — https://makerkit.dev/""},""tests"":{""value"":true,""source"":""vendor page \""end-to-end tests\"" — https://makerkit.dev/""},""billing"":{""value"":true,""source"":""vendor page \""stripe\"" — https://makerkit.dev/""},""blog_cms"":{""value"":true,""source"":""vendor page \""blog\"" — https://makerkit.dev/""},""webhooks"":{""value"":false,""source"":""not claimed on https://makerkit.dev/""},""file_uploads"":{""value"":false,""source"":""not claimed on https://makerkit.dev/""},""social_login"":{""value"":true,""source"":""vendor page \""social login\"" — https://makerkit.dev/""},""background_jobs"":{""value"":false,""source"":""not claimed on https://makerkit.dev/""},""transactional_email"":{""value"":true,""source"":""vendor page \""transactional email\"" — https://makerkit.dev/""}}",Private Discord community,https://makerkit.dev/,15,site,documented,true,false,https://makerkit.dev/images/favicon/favicon.ico,"The production-grade Next.js SaaS starter kit your AI agent builds on. Secure multi-tenancy, real billing, and an MCP server + agent rules for Claude Code, Cursor & Codex. Supabase, Drizzle, or Prisma.",https://makerkit.dev/,,,,,2026-09-04T05:41:33.728+00:00
mksaas,MkSaaS,MkSaaS,https://mksaas.com,https://mksaas.com/#pricing,https://mksaas.com/docs,,Next.js,"[""nextjs"",""react"",""drizzle"",""postgres"",""stripe"",""betterauth""]",Proprietary (vendor licence),https://mksaas.com/,false,one_time,139,139,"…TanStarter Legal License Policy Privacy Policy Terms of Service © 2026 MkSaaS . All Rights Reserved. Lifetime $139 Pay once, Build unlimited SaaS websites Get Started All Pro features 100 GB storage Dedicated support…",2026-09-04T05:41:47.5+00:00,"[{""value"":139,""source"":""https://mksaas.com/pricing"",""context"":""…TanStarter Legal License Policy Privacy Policy Terms of Service © 2026 MkSaaS . All Rights Reserved. Lifetime $139 Pay once, Build unlimited SaaS websites Get Started All Pro features 100 GB storage Dedicated support…""}]",false,,,,,,,,,"{""ci"":{""value"":false,""source"":""not claimed on https://mksaas.com/""},""auth"":{""value"":true,""source"":""vendor page \""authentication\"" — https://mksaas.com/""},""i18n"":{""value"":true,""source"":""vendor page \""internationalization\"" — https://mksaas.com/""},""admin"":{""value"":false,""source"":""not claimed on https://mksaas.com/""},""roles"":{""value"":true,""source"":""vendor page \""role\"" — https://mksaas.com/""},""teams"":{""value"":true,""source"":""vendor page \""team\"" — https://mksaas.com/docs""},""tests"":{""value"":false,""source"":""not claimed on https://mksaas.com/""},""billing"":{""value"":true,""source"":""vendor page \""stripe\"" — https://mksaas.com/""},""blog_cms"":{""value"":true,""source"":""vendor page \""blog\"" — https://mksaas.com/""},""webhooks"":{""value"":true,""source"":""vendor page \""webhook\"" — https://mksaas.com/""},""file_uploads"":{""value"":false,""source"":""not claimed on https://mksaas.com/""},""social_login"":{""value"":true,""source"":""vendor page \""social login\"" — https://mksaas.com/""},""background_jobs"":{""value"":true,""source"":""vendor page \""cron job\"" — https://mksaas.com/docs""},""transactional_email"":{""value"":true,""source"":""vendor page \""resend\"" — https://mksaas.com/""}}",Private Discord community,https://mksaas.com/,36,site,documented,true,false,https://mksaas.com/favicon-32x32.png,"The complete Next.js boilerplate for building profitable SaaS, packed with AI, auth, payments, i18n, newsletter, dashboard, blog, docs, blocks, themes, SEO and more.",https://mksaas.com/,,,,,2026-09-04T05:41:46.832+00:00
next-forge,next-forge,Hayden Bleasel,https://www.next-forge.com,,https://www.next-forge.com/docs,vercel/next-forge,Next.js,"[""nextjs"",""react"",""prisma"",""turborepo"",""clerk"",""stripe""]",MIT,https://github.com/vercel/next-forge,true,free,0,0,,,[],false,2026-05-28T14:33:08+00:00,2026-03-20T15:05:35+00:00,v6.0.2,16,7667,713,33,63,"{""ci"":{""value"":true,""source"":""file: .github/workflows/release.yml""},""auth"":{""value"":true,""source"":""dependency: @clerk/nextjs""},""i18n"":{""value"":true,""source"":""file: docs/lib/geistdocs/i18n.ts""},""admin"":{""value"":false,""source"":""not found in repo tree or manifests""},""roles"":{""value"":false,""source"":""not found in repo tree or manifests""},""teams"":{""value"":false,""source"":""not found in repo tree or manifests""},""tests"":{""value"":true,""source"":""dependency: vitest""},""billing"":{""value"":true,""source"":""file: apps/api/app/webhooks/payments/route.ts""},""blog_cms"":{""value"":true,""source"":""file: apps/web/app/[locale]/blog/[slug]/page.tsx""},""webhooks"":{""value"":true,""source"":""dependency: svix""},""file_uploads"":{""value"":true,""source"":""file: docs/content/docs/migrations/storage/upload-thing.mdx""},""social_login"":{""value"":false,""source"":""not found in repo tree or manifests""},""background_jobs"":{""value"":true,""source"":""file: apps/api/app/cron/keep-alive/route.ts""},""transactional_email"":{""value"":true,""source"":""dependency: @react-email/components""}}",GitHub issues,https://github.com/vercel/next-forge/issues,6,site,hands_on,true,false,https://github.com/vercel.png?size=160,Production-grade Turborepo template for Next.js apps.,https://github.com/vercel/next-forge,,,,,2026-09-04T05:41:26.575+00:00
next-saas-stripe-starter,Next SaaS Stripe Starter,mickasmt,https://github.com/mickasmt/next-saas-stripe-starter,,,mickasmt/next-saas-stripe-starter,Next.js,"[""nextjs"",""react"",""prisma"",""postgres"",""stripe"",""authjs""]",MIT,https://github.com/mickasmt/next-saas-stripe-starter,true,free,0,0,,,[],false,2024-07-26T16:50:26+00:00,2024-06-26T11:12:39+00:00,v1.0.0,0,3002,631,24,4,"{""ci"":{""value"":false,""source"":""not found in repo tree or manifests""},""auth"":{""value"":true,""source"":""dependency: next-auth""},""i18n"":{""value"":false,""source"":""not found in repo tree or manifests""},""admin"":{""value"":true,""source"":""file: app/(protected)/admin/layout.tsx""},""roles"":{""value"":false,""source"":""not found in repo tree or manifests""},""teams"":{""value"":false,""source"":""not found in repo tree or manifests""},""tests"":{""value"":false,""source"":""not found in repo tree or manifests""},""billing"":{""value"":true,""source"":""dependency: stripe""},""blog_cms"":{""value"":true,""source"":""file: app/(marketing)/(blog-post)/blog/[slug]/page.tsx""},""webhooks"":{""value"":true,""source"":""file: app/api/webhooks/stripe/route.ts""},""file_uploads"":{""value"":false,""source"":""not found in repo tree or manifests""},""social_login"":{""value"":true,""source"":""dependency: @auth/prisma-adapter""},""background_jobs"":{""value"":false,""source"":""not found in repo tree or manifests""},""transactional_email"":{""value"":true,""source"":""dependency: resend""}}",GitHub issues,https://github.com/mickasmt/next-saas-stripe-starter/issues,,none,hands_on,true,false,https://github.com/mickasmt.png?size=160,"Open-source SaaS Starter with User Roles & Admin Panel. Built using Next.js 14, Prisma, Neon, Auth.js v5, Resend, React Email, Shadcn/ui, Stripe, Server Actions.",https://github.com/mickasmt/next-saas-stripe-starter,,,,,2026-09-04T05:40:31.207+00:00
nextacular,Nextacular,Nextacular,https://nextacular.co,,https://github.com/nextacular/nextacular/tree/main/docs,nextacular/nextacular,Next.js,"[""nextjs"",""react"",""prisma"",""postgres"",""stripe""]",MIT,https://github.com/nextacular/nextacular,true,free,0,0,,,[],false,2026-05-30T11:47:22+00:00,2022-12-28T01:23:10+00:00,v1.3.0-Beta,0,1383,242,21,13,"{""ci"":{""value"":true,""source"":""file: .github/workflows/ci.yml""},""auth"":{""value"":true,""source"":""dependency: next-auth""},""i18n"":{""value"":true,""source"":""dependency: react-i18next""},""admin"":{""value"":false,""source"":""not found in repo tree or manifests""},""roles"":{""value"":true,""source"":""file: src/pages/api/workspace/team/role.ts""},""teams"":{""value"":true,""source"":""file: src/pages/account/[workspaceSlug]/settings/team.tsx""},""tests"":{""value"":false,""source"":""not found in repo tree or manifests""},""billing"":{""value"":true,""source"":""dependency: stripe""},""blog_cms"":{""value"":true,""source"":""file: src/components/Content/index.tsx""},""webhooks"":{""value"":false,""source"":""not found in repo tree or manifests""},""file_uploads"":{""value"":false,""source"":""not found in repo tree or manifests""},""social_login"":{""value"":false,""source"":""not found in repo tree or manifests""},""background_jobs"":{""value"":false,""source"":""not found in repo tree or manifests""},""transactional_email"":{""value"":true,""source"":""dependency: nodemailer""}}",GitHub issues,https://github.com/nextacular/nextacular/issues,4,site,hands_on,true,false,https://github.com/nextacular.png?size=160,"An open-source starter kit that will help you build full-stack multi-tenant SaaS platforms efficiently and help you focus on developing your core SaaS features. Built on top of popular and modern technologies such as Next JS, Tailwind, Prisma, and Stripe.",https://github.com/nextacular/nextacular,,,,,2026-09-04T05:40:47.375+00:00
nextjs-saas-starter,Next.js SaaS Starter,Vercel,https://next-saas-start.vercel.app,,,nextjs/saas-starter,Next.js,"[""nextjs"",""react"",""drizzle"",""postgres"",""stripe""]",MIT,https://github.com/nextjs/saas-starter,true,free,0,0,,,[],false,2025-12-11T22:35:36+00:00,,,0,16082,2709,52,23,"{""ci"":{""value"":false,""source"":""not found in repo tree or manifests""},""auth"":{""value"":true,""source"":""file: lib/auth/middleware.ts""},""i18n"":{""value"":false,""source"":""not found in repo tree or manifests""},""admin"":{""value"":false,""source"":""not found in repo tree or manifests""},""roles"":{""value"":false,""source"":""not found in repo tree or manifests""},""teams"":{""value"":true,""source"":""file: app/api/team/route.ts""},""tests"":{""value"":false,""source"":""not found in repo tree or manifests""},""billing"":{""value"":true,""source"":""dependency: stripe""},""blog_cms"":{""value"":false,""source"":""not found in repo tree or manifests""},""webhooks"":{""value"":true,""source"":""file: app/api/stripe/webhook/route.ts""},""file_uploads"":{""value"":false,""source"":""not found in repo tree or manifests""},""social_login"":{""value"":false,""source"":""not found in repo tree or manifests""},""background_jobs"":{""value"":false,""source"":""not found in repo tree or manifests""},""transactional_email"":{""value"":false,""source"":""not found in repo tree or manifests""}}",GitHub issues,https://github.com/nextjs/saas-starter/issues,,none,hands_on,true,false,https://github.com/nextjs.png?size=160,"Get started quickly with Next.js, Postgres, Stripe, and shadcn/ui.",https://github.com/nextjs/saas-starter,,,,,2026-09-04T05:40:08.92+00:00
nextjs-subscription-payments,Next.js Subscription Payments,Vercel,https://subscription-payments.vercel.app,,https://github.com/vercel/nextjs-subscription-payments#readme,vercel/nextjs-subscription-payments,Next.js,"[""nextjs"",""react"",""supabase"",""postgres"",""stripe""]",MIT,https://github.com/vercel/nextjs-subscription-payments,true,free,0,0,,,[],false,2025-01-23T15:21:42+00:00,,,0,7717,1752,0,31,"{""ci"":{""value"":false,""source"":""not found in repo tree or manifests""},""auth"":{""value"":true,""source"":""dependency: @supabase/ssr""},""i18n"":{""value"":false,""source"":""not found in repo tree or manifests""},""admin"":{""value"":true,""source"":""file: utils/supabase/admin.ts""},""roles"":{""value"":false,""source"":""not found in repo tree or manifests""},""teams"":{""value"":false,""source"":""not found in repo tree or manifests""},""tests"":{""value"":false,""source"":""not found in repo tree or manifests""},""billing"":{""value"":true,""source"":""dependency: stripe""},""blog_cms"":{""value"":false,""source"":""not found in repo tree or manifests""},""webhooks"":{""value"":true,""source"":""file: app/api/webhooks/route.ts""},""file_uploads"":{""value"":false,""source"":""not found in repo tree or manifests""},""social_login"":{""value"":false,""source"":""not found in repo tree or manifests""},""background_jobs"":{""value"":false,""source"":""not found in repo tree or manifests""},""transactional_email"":{""value"":false,""source"":""not found in repo tree or manifests""}}",GitHub issues,https://github.com/vercel/nextjs-subscription-payments/issues,,readme,hands_on,true,true,https://github.com/vercel.png?size=160,"Clone, deploy, and fully customize a SaaS subscription application with Next.js.",https://github.com/vercel/nextjs-subscription-payments,,,,,2026-09-04T05:40:20.596+00:00
nextless,Nextless.js,Nextless,https://nextlessjs.com,https://nextlessjs.com/#pricing,,,Next.js,"[""nextjs"",""react"",""aws"",""dynamodb"",""stripe""]",Proprietary (vendor licence),https://nextlessjs.com/,false,unknown,199,2099,"…with the latest best practices and dependency updates. After that, you can extend for another year at $199 for a single license or $599 for the unlimited project license. Can I get a refund? Due to the nature…",2026-09-04T05:41:47.818+00:00,"[{""value"":199,""source"":""https://nextlessjs.com/"",""context"":""…with the latest best practices and dependency updates. After that, you can extend for another year at $199 for a single license or $599 for the unlimited project license. Can I get a refund? Due to the nature…""},{""value"":599,""source"":""https://nextlessjs.com/"",""context"":""…and dependency updates. After that, you can extend for another year at $199 for a single license or $599 for the unlimited project license. Can I get a refund? Due to the nature of the software being non-returnable,…""},{""value"":699,""source"":""https://nextlessjs.com/"",""context"":""…EUR GBP Other (150+ countries) Localized pricing for 150+ countries, pay in your own currency SINGLE $699 Best for One Project Full source code Authentication Subscription Payment Team & Multi-tenancy User…""},{""value"":2099,""source"":""https://nextlessjs.com/"",""context"":""…PostgreSQL, MySQL, MongoDB OR DynamoDB Documentation 1 year of updates Email Support Buy now UNLIMITED $2099 For Unlimited Projects (limited to your own projects or entity) Full source code Authentication…""}]",false,,,,,,,,,"{""ci"":{""value"":false,""source"":""not claimed on https://nextlessjs.com/""},""auth"":{""value"":true,""source"":""vendor page \""authentication\"" — https://nextlessjs.com/""},""i18n"":{""value"":false,""source"":""not claimed on https://nextlessjs.com/""},""admin"":{""value"":true,""source"":""vendor page \""admin dashboard\"" — https://nextlessjs.com/""},""roles"":{""value"":false,""source"":""not claimed on https://nextlessjs.com/""},""teams"":{""value"":true,""source"":""vendor page \""team\"" — https://nextlessjs.com/""},""tests"":{""value"":true,""source"":""vendor page \""e2e tests\"" — https://nextlessjs.com/""},""billing"":{""value"":true,""source"":""vendor page \""stripe\"" — https://nextlessjs.com/""},""blog_cms"":{""value"":true,""source"":""vendor page \""blog\"" — https://nextlessjs.com/""},""webhooks"":{""value"":true,""source"":""vendor page \""webhook\"" — https://nextlessjs.com/""},""file_uploads"":{""value"":false,""source"":""not claimed on https://nextlessjs.com/""},""social_login"":{""value"":true,""source"":""vendor page \""social login\"" — https://nextlessjs.com/""},""background_jobs"":{""value"":true,""source"":""vendor page \""cron job\"" — https://nextlessjs.com/""},""transactional_email"":{""value"":true,""source"":""vendor page \""mailgun\"" — https://nextlessjs.com/""}}",Email support,https://nextlessjs.com/,,none,documented,true,false,https://nextlessjs.com/apple-touch-icon.png,"Serverless SaaS Boilerplate for building faster with Next.js and Node.js on AWS. React SaaS Starter kit with Express.js including authentication, payment and teams.",https://nextlessjs.com/,,,,,2026-09-04T05:41:47.58+00:00
