slug,name,homepage,registry_url,registry_source,repo_full_name,repo_url,description,license,gh_stars,gh_forks,gh_pushed_at,gh_days_since_push,maintenance,item_count,free_item_count,paid_item_count,access,docs_url,preview_embeddable,status,first_seen,last_seen,last_crawled_at,gone_on,notes
abdisamadjoe,abdisamadjoe,https://abdisamadjoe.com,https://abdisamadjoe.com/r/registry.json,live,abdisamadjoe/abdisamadyusuf,https://github.com/abdisamadjoe/abdisamadyusuf,,,,,,,,40,40,0,free,,,active,2026-08-27,2026-09-04,2026-09-04T08:17:11.71+00:00,,
abui,abui,https://abui.io,https://abui.io/r/registry.json,live,antoniobrandao/abui,https://github.com/antoniobrandao/abui,,,,,,,,20,17,0,free,https://abui.io/components/breakpoint-display,true,active,2026-08-02,2026-09-04,2026-09-04T08:17:12.831+00:00,,
accelya-ui,Accelya UI,https://ui.accelya.com,https://raw.githubusercontent.com/ramsaoji/Accelya-UI-Lib/HEAD/registry.json,github,ramsaoji/Accelya-UI-Lib,https://github.com/ramsaoji/Accelya-UI-Lib,,,,,,,,194,0,0,unknown,,,active,2026-08-31,2026-09-04,2026-09-04T08:17:21.75+00:00,,
accelya-ui-lib,shadcn/ui,,https://raw.githubusercontent.com/ramsaoji/Accelya-UI-Lib/main/public/r/styles/default/registry.json,github,ramsaoji/Accelya-UI-Lib,https://github.com/ramsaoji/Accelya-UI-Lib,,,1,0,2025-09-20T15:52:33+00:00,315,26,357,150,0,free,https://ui.shadcn.com/docs/components/accordion,true,gone,2026-08-01,2026-08-01,2026-08-01T18:46:59.692+00:00,2026-08-05,
accomplice,accomplice,https://accomplice.se,https://raw.githubusercontent.com/Accomplicehq/accomplice-design-theme/master/registry.json,github,Accomplicehq/accomplice-design-theme,https://github.com/Accomplicehq/accomplice-design-theme,Design guidelines for Accomplice Apps,,0,0,2026-07-31T18:18:27+00:00,35,76,1,0,0,unknown,,,active,2026-08-02,2026-09-04,2026-09-04T08:35:58.157+00:00,,
aceternity,aceternity,https://ui.aceternity.com,https://ui.aceternity.com/registry.json,live,,,,,,,,,,277,117,160,mixed,https://ui.aceternity.com/categories/grid,,active,2026-08-01,2026-09-04,2026-09-04T08:16:01.755+00:00,,
acme,acme,https://acme.com,https://raw.githubusercontent.com/LunarHUE/ui/main/registry.json,github,LunarHUE/ui,https://github.com/LunarHUE/ui,,,0,0,2025-11-20T12:40:01+00:00,280,26,4,0,0,unknown,,,gone,2026-08-02,2026-08-27,2026-08-27T19:06:17.55+00:00,2026-08-31,
actioncomposer,actioncomposer,,https://raw.githubusercontent.com/shivam-jainn/action-composer/main/public/r/registry.json,github,shivam-jainn/action-composer,https://github.com/shivam-jainn/action-composer,,,0,0,2026-06-15T06:49:21+00:00,81,66,1,0,0,unknown,,,active,2026-08-02,2026-09-04,2026-09-04T08:35:48.636+00:00,,
adire,adire,https://github.com,https://raw.githubusercontent.com/Timonwa/adire-ui/main/r/registry.json,github,Timonwa/adire-ui,https://github.com/Timonwa/adire-ui,A themeable component registry for React and Tailwind CSS v4 — install components as source you own and edit.,MIT,0,0,2026-08-17T21:13:35+00:00,0,94,97,0,0,unknown,,,gone,2026-08-18,2026-08-18,2026-08-18T08:26:46.77+00:00,2026-08-22,
adizen-auth-ui-toolkit-registry,Adizen Auth UI Toolkit Registry,,https://raw.githubusercontent.com/jainvedant392/ShadCN-Auth-Registry/main/auth-ui-toolkit/registry.json,github,jainvedant392/ShadCN-Auth-Registry,https://github.com/jainvedant392/ShadCN-Auth-Registry,,,0,0,2025-07-26T07:50:27+00:00,405,6,1,0,0,unknown,,,active,2026-08-02,2026-09-04,2026-09-04T08:36:46.495+00:00,,
adminlte,adminlte,https://adminlte.io,https://raw.githubusercontent.com/dnachavez/adminlte-next/master/public/r/registry.json,github,dnachavez/adminlte-next,https://github.com/dnachavez/adminlte-next,"AdminLTE 2.4.2 as a Shadcn UI custom registry — React + TypeScript + Tailwind CSS, zero jQuery/Bootstrap",MIT,0,0,2026-03-27T23:16:04+00:00,160,49,77,0,0,unknown,,,active,2026-08-02,2026-09-04,2026-09-04T08:36:59.794+00:00,,
adn-ui,adn-ui,https://ui.awaiden.com,https://ui.awaiden.com/r/registry.json,live,awaiden/adn-ui,https://github.com/awaiden/adn-ui,A shadcn-compatible component registry built on @base-ui/react primitives and styled with Tailwind CSS v4.,MIT,1,0,2026-08-30T21:44:25+00:00,4,94,48,48,0,free,https://ui.awaiden.com/docs/components/accordion,true,active,2026-08-02,2026-09-04,2026-09-04T08:29:28.924+00:00,,
adrianub,adrianub,https://ui.adrianub.dev,https://ui.adrianub.dev/r/index.json,live,adrian-ub/shadcn-ng,https://github.com/adrian-ub/shadcn-ng,,,,,,,,23,23,0,free,https://ui.adrianub.dev/docs/components/accordion,true,active,2026-08-01,2026-09-04,2026-09-04T08:17:15.788+00:00,,
aevox,aevox,https://aevox.design,https://raw.githubusercontent.com/cubixai/aevox-design/main/registry.json,github,cubixai/aevox-design,https://github.com/cubixai/aevox-design,AeVox design system — React + shadcn/ui + Tailwind v4. shadcn registry + Claude Code skill. https://cubixai.github.io/aevox-design,,0,0,2026-07-13T18:14:39+00:00,53,76,6,0,0,unknown,,,active,2026-08-02,2026-09-04,2026-09-04T08:36:16.673+00:00,,
aevr,aevr,https://v1.ui.aevr.space,https://raw.githubusercontent.com/aevrHQ/ui/HEAD/registry.json,github,aevrHQ/ui,https://github.com/aevrHQ/ui,,,,,,,,34,0,0,unknown,https://v1.ui.aevr.space/docs/components/button,true,active,2026-08-11,2026-09-04,2026-09-04T08:17:21.694+00:00,,
afterglow,afterglow,https://afterglow.thebuilder.dk,https://afterglow.thebuilder.dk/r/registry.json,live,thebuilder/afterglow,https://github.com/thebuilder/afterglow,Old-school terminal UI for the modern web,NOASSERTION,5,0,2026-09-03T19:49:49+00:00,1,94,62,62,0,free,https://afterglow.thebuilder.dk/c/accordion,,active,2026-08-29,2026-09-04,2026-09-04T08:28:53.071+00:00,,
agent-demos,agent-demos,https://agent-demos.hsawana9.com,https://agent-demos.hsawana9.com/r/registry.json,live,SawanaLabs/agent-demos,https://github.com/SawanaLabs/agent-demos,,MIT,4,0,2026-08-21T15:58:55+00:00,14,86,17,17,0,free,,,active,2026-08-01,2026-09-04,2026-09-04T08:28:56.923+00:00,,
agent-elements,agent-elements,https://agent-elements.21st.dev,https://agent-elements.21st.dev/r/index.json,live,,,,,,,,,,25,25,0,free,https://agent-elements.21st.dev/docs/agent-chat,true,active,2026-08-01,2026-09-04,2026-09-04T08:32:22.044+00:00,,
agent-native,agent-native,https://agent-native.com,https://raw.githubusercontent.com/BuilderIO/agent-native/main/registry.json,github,BuilderIO/agent-native,https://github.com/BuilderIO/agent-native,A framework for building agent-native applications.,,4661,438,2026-09-04T08:11:31+00:00,0,94,5,0,0,unknown,https://www.agent-native.com/docs/extensions/,,active,2026-08-02,2026-09-04,2026-09-04T08:24:48.306+00:00,,
agent-ui-reference-system,agent-ui-reference-system,https://github.com,https://raw.githubusercontent.com/tej-1916/agent-ui-reference-system/master/registry.json,github,tej-1916/agent-ui-reference-system,https://github.com/tej-1916/agent-ui-reference-system,,MIT,0,0,2026-07-07T14:02:28+00:00,59,76,1,0,0,unknown,,,active,2026-08-02,2026-09-04,2026-09-04T08:36:34.869+00:00,,
agent-utils,agent-utils,https://github.com,https://raw.githubusercontent.com/brennanmceachran/agent-utils/main/docs/registry.json,github,brennanmceachran/agent-utils,https://github.com/brennanmceachran/agent-utils,,,0,0,2026-01-11T17:28:04+00:00,236,26,3,0,0,unknown,,,active,2026-08-02,2026-09-04,2026-09-04T08:36:18.981+00:00,,
agentcn,agentcn,https://agentcn.run,https://agentcn.run/r/registry.json,live,shadcn-labs/agentcn,https://github.com/shadcn-labs/agentcn,,,,,,,,76,76,0,free,https://www.agentcn.run/docs/agents/eve/ai-seo-audit,,active,2026-08-01,2026-09-04,2026-09-04T08:17:33.028+00:00,,
agentic-design,agentic-design,https://agentic-design.dev,https://raw.githubusercontent.com/BrieucCaillot/agentic-design/main/apps/web/registry.json,github,BrieucCaillot/agentic-design,https://github.com/BrieucCaillot/agentic-design,,MIT,0,0,2026-02-01T17:31:57+00:00,215,26,65,0,0,unknown,,,active,2026-08-02,2026-09-04,2026-09-04T08:37:14.531+00:00,,
agentive-ui,agentive-ui,https://agentive-ui.dev,https://raw.githubusercontent.com/tarunchaudhry/agentive-ui/master/registry/registry.json,github,tarunchaudhry/agentive-ui,https://github.com/tarunchaudhry/agentive-ui,"A shadcn-based UI development kit for building AI agent interfaces — chat, streaming, tool calls, research agents, and browser-use agents.",,0,0,2026-08-21T06:50:57+00:00,0,94,2,0,0,unknown,,,gone,2026-08-21,2026-08-21,2026-08-21T08:29:44.162+00:00,2026-08-27,
agentmesh,shadcn/ui,,https://raw.githubusercontent.com/ombhanushaliii/agentmesh/main/example/ui/apps/v4/public/r/styles/base-vega/registry.json,github,ombhanushaliii/agentmesh,https://github.com/ombhanushaliii/agentmesh,"A decentralised runtime protocol for Autonomous AI agents that discover, hire, and pay each other at runtime",,1,0,2026-05-03T15:20:02+00:00,90,66,201,150,0,free,https://ui.shadcn.com/docs/components/accordion,true,gone,2026-08-01,2026-08-01,2026-08-01T18:46:10.633+00:00,2026-08-05,
agents-ui,@agents-ui,https://livekit.io,https://raw.githubusercontent.com/livekit/components-js/HEAD/packages/shadcn/registry.json,github,livekit/components-js,https://github.com/livekit/components-js,,,,,,,,18,0,0,unknown,,,active,2026-08-23,2026-09-02,2026-09-02T08:35:13.976+00:00,,
agileflow-projectquestorg,shadcn/ui,https://agileflow.projectquestorg.com,https://raw.githubusercontent.com/projectquestorg/AgileFlow/main/apps/docs/public/r/styles/radix-nova/registry.json,github,projectquestorg/AgileFlow,https://github.com/projectquestorg/AgileFlow,"AI-driven agile development for Claude Code, Cursor, Windsurf, and more. Combining Scrum, Kanban, ADRs, and docs-as-code principles into one framework-agnostic system.",MIT,7,1,2026-05-27T05:05:49+00:00,98,49,133,133,0,free,,,active,2026-08-01,2026-09-02,2026-09-02T08:31:06.996+00:00,,
ai,shadcn/ui,https://ui.shadcn.com,https://raw.githubusercontent.com/jiaweing/ai/main/apps/www/public/r/styles/elevenlabs-ui/registry.json,github,jiaweing/ai,https://github.com/jiaweing/ai,,MIT,0,0,2025-10-23T05:16:52+00:00,316,26,41,0,0,unknown,,,active,2026-08-02,2026-09-04,2026-09-04T08:37:21.222+00:00,,
ai-cfo-agent,shadcn/ui,https://ui.shadcn.com,https://raw.githubusercontent.com/daniel-st3/ai-cfo-agent/main/ui/ui-main/apps/v4/public/r/styles/base-nova/registry.json,github,daniel-st3/ai-cfo-agent,https://github.com/daniel-st3/ai-cfo-agent,"AI CFO Agent: Self-hosted financial intelligence. 24 features, $0.003/run. FastAPI + LangGraph + Next.js + Claude Haiku. Upload CSV → get KPIs, fraud detection, runway analysis.",,7,1,2026-03-08T04:42:11+00:00,178,49,161,0,0,unknown,,,active,2026-08-01,2026-09-02,2026-09-02T08:31:06.701+00:00,,
ai-chat-kit,ai-chat-kit,https://ai-chat-kit-two.vercel.app,https://raw.githubusercontent.com/shah-zaib-nawaz/ai-chat-kit/HEAD/registry.json,github,shah-zaib-nawaz/ai-chat-kit,https://github.com/shah-zaib-nawaz/ai-chat-kit,,,,,,,,1,0,0,unknown,,,active,2026-08-02,2026-09-04,2026-09-04T08:17:24.357+00:00,,
ai-elements-solid,acme,https://acme.com,https://raw.githubusercontent.com/kodehort/ai-elements-solid/main/registry.json,github,kodehort/ai-elements-solid,https://github.com/kodehort/ai-elements-solid,,,0,0,2026-09-04T04:39:43+00:00,0,94,6,0,0,unknown,,,active,2026-08-02,2026-09-04,2026-09-04T08:36:36.284+00:00,,
ai-native,ai-native,https://eanzhao-os.github.io,https://raw.githubusercontent.com/eanzhao-os/native-ai-ui/main/registry.json,github,eanzhao-os/native-ai-ui,https://github.com/eanzhao-os/native-ai-ui,"34 crafted primitives for AI-native interfaces, Tether C# runtime & Kumo UI patterns",MIT,0,0,2026-09-02T13:42:51+00:00,2,94,48,0,0,unknown,,,active,2026-08-29,2026-09-04,2026-09-04T08:36:25.026+00:00,,
ai-native-eanzhao-os,ai-native,https://eanzhao-os.github.io,https://raw.githubusercontent.com/eanzhao-os/native-ai-ui/main/registry.json,github,eanzhao-os/native-ai-ui,https://github.com/eanzhao-os/native-ai-ui,"34 crafted primitives for AI-native interfaces, Tether C# runtime & Kumo UI patterns",MIT,0,0,2026-08-28T16:28:24+00:00,3,94,44,0,0,unknown,,,gone,2026-08-29,2026-08-31,2026-08-31T08:19:07.167+00:00,2026-09-04,
aicanvas,aicanvas,https://aicanvas.me,https://aicanvas.me/r/registry.json,live,uiNerd16/aicanvas,https://github.com/uiNerd16/aicanvas,"Open-core registry of animated React components, blocks, design systems, and templates. Real, editable code: install with one shadcn CLI command or let your AI agent pull it over MCP.",MIT,51,5,2026-09-03T16:53:23+00:00,1,94,126,126,0,free,https://aicanvas.me/components/ai-job-cards,false,active,2026-08-02,2026-09-04,2026-09-04T08:26:57.262+00:00,,
aigent-design-system,aigent-design-system,https://github.com,https://raw.githubusercontent.com/wrg32786/aigent-design-system/master/registry.json,github,wrg32786/aigent-design-system,https://github.com/wrg32786/aigent-design-system,"Premium AI-native web design patterns, cinematic scroll templates, and agent skills from The AIgent.",MIT,4,0,2026-08-06T07:46:46+00:00,0,94,16,0,0,unknown,,,gone,2026-08-06,2026-08-06,2026-08-06T08:20:30.184+00:00,2026-08-10,
ak-ui,ak-ui,https://ak-ui.yunyoujun.cn,https://ak-ui.yunyoujun.cn/r/registry.json,live,YunYouJun/ak-ui,https://github.com/YunYouJun/ak-ui,,,,,,,,8,8,0,free,,,active,2026-08-02,2026-09-04,2026-09-04T08:17:25.087+00:00,,
akcodeworks,akcodeworks,https://ui.akcodeworks.com,https://ui.akcodeworks.com/r/index.json,live,AKCodeWorks/codeworks-ui,https://github.com/AKCodeWorks/codeworks-ui,,,,,,,,16,16,0,free,https://ui.akcodeworks.com/docs/components/aura,true,active,2026-08-31,2026-09-04,2026-09-04T08:17:25.199+00:00,,
akoder,akoder,https://akoder.xyz,https://akoder.xyz/r/registry.json,live,AdityaKodez/adityaojha,https://github.com/AdityaKodez/adityaojha,Aditya — Full-stack developer building with Next.js,MIT,18,2,2026-09-04T06:54:41+00:00,0,94,10,10,0,free,https://akoder.xyz/components/dotted-world-map,false,active,2026-08-31,2026-09-04,2026-09-04T08:27:56.061+00:00,,
alex-amayo-github,ui,https://alex-amayo.github.io,https://raw.githubusercontent.com/Alex-Amayo/resource-manager/main/packages/ui/registry.json,github,Alex-Amayo/resource-manager,https://github.com/Alex-Amayo/resource-manager,,MIT,0,0,2025-10-21T08:17:36+00:00,318,26,1,0,0,unknown,,,active,2026-08-02,2026-09-04,2026-09-04T08:36:56.885+00:00,,
alexcarpenter,alexcarpenter,https://ui.alexcarpenter.me,https://ui.alexcarpenter.me/r/registry.json,live,alexcarpenter/ui.alexcarpenter.me,https://github.com/alexcarpenter/ui.alexcarpenter.me,,,,,,,,6,6,0,free,,,active,2026-08-01,2026-09-04,2026-09-04T08:17:31.641+00:00,,
alpha-design-system,alpha-design-system,https://alpha-design-system-five.vercel.app,https://alpha-design-system-five.vercel.app/r/registry.json,live,yutounun/alpha-design-system,https://github.com/yutounun/alpha-design-system,,,,,,,,20,20,0,free,,,active,2026-08-11,2026-09-04,2026-09-04T08:17:31.412+00:00,,
alpine,alpine,https://alpine-registry.vercel.app,https://raw.githubusercontent.com/shadcn-ui/alpine-registry/main/public/r/registry.json,github,shadcn-ui/alpine-registry,https://github.com/shadcn-ui/alpine-registry,An example registry for distributing code using shadcn.,,206,21,2025-12-12T04:39:46+00:00,266,26,23,0,0,unknown,,,active,2026-08-01,2026-09-04,2026-09-04T08:26:14.314+00:00,,
altitude,Altitude,https://thgaltitude.com,https://raw.githubusercontent.com/THG-Headless/component-registry/main/registry.json,github,THG-Headless/component-registry,https://github.com/THG-Headless/component-registry,,,0,0,2025-04-04T16:11:35+00:00,518,6,18,0,0,unknown,,,active,2026-08-02,2026-09-04,2026-09-04T08:36:44.968+00:00,,
altitude-component-registry,Altitude Component Registry,https://components.thgaltitude.com,https://raw.githubusercontent.com/THG-Headless/ui/main/public/r/registry.json,github,THG-Headless/ui,https://github.com/THG-Headless/ui,,,0,0,2025-07-07T13:35:12+00:00,424,6,18,0,0,unknown,,,active,2026-08-02,2026-09-04,2026-09-04T08:37:23.039+00:00,,
amap,amap,https://map.ling.pub,https://map.ling.pub/r/registry.json,live,hustcc/amapcn,https://github.com/hustcc/amapcn,"🗺️ Beautiful map components. 100% Free, Zero config, one command setup.",MIT,33,1,2026-05-28T05:20:52+00:00,99,49,1,1,0,free,,,active,2026-08-01,2026-09-04,2026-09-04T08:27:15.652+00:00,,
amarjay-ui,amarjay-ui,https://ui.amarjay.com,https://ui.amarjay.com/r/registry.json,live,amar-jay/ui,https://github.com/amar-jay/ui,,,,,,,,18,18,0,free,https://ui.amarjay.com/docs/components/button,true,active,2026-08-08,2026-09-04,2026-09-04T08:17:32.762+00:00,,
amplio,amplio,https://github.com,https://raw.githubusercontent.com/alex-holovach/amplio/main/apps/www/public/r/registry.json,github,alex-holovach/amplio,https://github.com/alex-holovach/amplio,Schema-first wide-event telemetry that installs as open code — shadcn for observability,MIT,0,0,2026-08-14T19:45:46+00:00,21,86,14,0,0,unknown,,,active,2026-08-10,2026-09-04,2026-09-04T08:36:01.473+00:00,,
amplo-color-picker,amplo-color-picker,https://amplo.ale.design,https://raw.githubusercontent.com/n-at-han-k/shadcn-registry-props/main/amplo/registry.json,github,n-at-han-k/shadcn-registry-props,https://github.com/n-at-han-k/shadcn-registry-props,,,1,0,2026-09-03T10:33:59+00:00,1,94,1,0,0,unknown,,,active,2026-08-10,2026-09-04,2026-09-04T08:29:30.461+00:00,,
analytics-kit,analytics-kit,https://wingtics.com,https://raw.githubusercontent.com/educlopez/analytics-kit/main/registry.json,github,educlopez/analytics-kit,https://github.com/educlopez/analytics-kit,"Provider-agnostic analytics connectors and dashboard widgets for Plausible, GA4, Vercel, Umami, and PostHog.",MIT,4,0,2026-09-04T07:44:21+00:00,0,94,35,0,0,unknown,,,active,2026-08-29,2026-09-04,2026-09-04T08:28:55.86+00:00,,
aniket-ui,aniket-ui,https://aniketpawar.com,https://aniketpawar.com/r/registry.json,live,Aniket-508/aniketpawar.com,https://github.com/Aniket-508/aniketpawar.com,A minimal dev portfolio,MIT,31,3,2026-08-22T17:47:45+00:00,13,86,1,1,0,free,,,active,2026-08-01,2026-09-04,2026-09-04T08:27:16.627+00:00,,
animate-ui,Animate UI,https://animate-ui.com,https://animate-ui.com/r/registry.json,live,imskyleen/animate-ui,https://github.com/imskyleen/animate-ui,,,,,,,,580,580,0,free,,,active,2026-08-01,2026-09-04,2026-09-04T08:16:13.365+00:00,,
animated-theme-toggles,Animated Theme Toggles,https://toggles.dev,https://toggles.dev/r/registry.json,live,AlfieJones/theme-toggles,https://github.com/AlfieJones/theme-toggles,Animated theme toggles for switching between light and dark modes.,,748,21,2026-04-30T06:12:33+00:00,127,49,14,14,0,free,https://toggles.dev/toggles/around,,active,2026-08-01,2026-09-04,2026-09-04T08:25:28.081+00:00,,
animateicons,animateicons,https://animateicons.in,https://animateicons.in/r/registry.json,live,Avijit07x/animateicons,https://github.com/Avijit07x/animateicons,"Free and open-source animated SVG icons for React, built for smooth micro-interactions, easy customization, and lightweight performance.",MIT,1191,65,2026-08-29T13:24:53+00:00,6,94,542,542,0,free,,,active,2026-08-01,2026-09-04,2026-09-04T08:25:14.738+00:00,,
animations,animations,https://nishide-dev.github.io,https://raw.githubusercontent.com/nishide-dev/animations/main/registry.json,github,nishide-dev/animations,https://github.com/nishide-dev/animations,,,0,0,2026-08-26T07:28:52+00:00,9,86,4,0,0,unknown,,,active,2026-08-31,2026-09-04,2026-09-04T08:37:11.677+00:00,,
aniui,aniui,https://aniui.dev,https://aniui.dev/registry.json,live,anishlp7/aniui,https://github.com/anishlp7/aniui,,,,,,,,118,118,0,free,https://aniui.dev/docs/accordion,true,active,2026-09-02,2026-09-04,2026-09-04T08:17:33.453+00:00,,
anup-ui,anup-ui,https://anuptiwari.me,https://anuptiwari.me/r/registry.json,live,anuptiwari17/anup,https://github.com/anuptiwari17/anup,,MIT,0,0,2026-08-28T21:01:20+00:00,6,94,1,1,0,free,,,active,2026-08-31,2026-09-04,2026-09-04T08:36:31.483+00:00,,
anyui,anyui,https://anyui.pwp.sh,https://raw.githubusercontent.com/any-design/anyui/main/registry.json,github,any-design/anyui,https://github.com/any-design/anyui,A cute UI components library for Vue / React / Svelte,MIT,24,5,2026-07-03T08:02:05+00:00,63,66,3,0,0,unknown,,,active,2026-08-01,2026-09-04,2026-09-04T08:27:29.356+00:00,,
anywhere-ui,anywhere-ui,https://nyxa-ui.vercel.app,https://raw.githubusercontent.com/7se7en72025/NYXA-UI/HEAD/registry.json,github,7se7en72025/NYXA-UI,https://github.com/7se7en72025/NYXA-UI,,,,,,,,121,0,0,unknown,https://nyxa-ui.vercel.app/docs/components/use-network,true,active,2026-08-31,2026-09-01,2026-09-01T08:16:51.48+00:00,,
aodesu,aodesu,https://ui.aodesu.com,https://ui.aodesu.com/r/registry.json,live,aodesu-org/uidesu,https://github.com/aodesu-org/uidesu,,,,,,,,5,5,0,free,,,active,2026-08-02,2026-09-04,2026-09-04T08:17:38.239+00:00,,
aomi,aomi,https://aomi.dev,https://aomi.dev/r/registry.json,live,aomi-labs/aomi,https://github.com/aomi-labs/aomi,"The best blockchain harness for agentic AI - on-chain execution with runtime, skills, and component library.",,13,4,2026-09-03T20:00:09+00:00,1,94,34,34,0,free,,,active,2026-08-08,2026-09-04,2026-09-04T08:28:10.041+00:00,,
apex-legal,apex-legal,,https://raw.githubusercontent.com/felippepestana/apex-legal/main/registry/registry.json,github,felippepestana/apex-legal,https://github.com/felippepestana/apex-legal,APEX Legal Performance — Design System for Brazilian Legal SaaS,,0,1,2026-06-10T13:29:42+00:00,86,66,9,0,0,unknown,,,active,2026-08-02,2026-09-04,2026-09-04T08:35:50.271+00:00,,
apocalypseui,apocalypseui,https://apocalypseui.com,https://apocalypseui.com/r/registry.json,live,ApocalypseUI/web,https://github.com/ApocalypseUI/web,Building a next-gen web3 UI library,,1,1,2025-11-23T16:14:16+00:00,285,26,2,2,0,free,,,active,2026-08-01,2026-09-04,2026-09-04T08:29:28.265+00:00,,
apollo-vertex,apollo-vertex,https://engdogfood.staging.uipath.host,https://raw.githubusercontent.com/UiPath/apollo-ui/main/apps/apollo-vertex/registry.json,github,UiPath/apollo-ui,https://github.com/UiPath/apollo-ui,A design system by UiPath,MIT,18,7,2026-08-06T05:58:14+00:00,0,94,84,0,0,unknown,,,gone,2026-08-01,2026-08-06,2026-08-06T08:19:45.075+00:00,2026-08-10,
appcn,appcn,https://appcn.vercel.app,https://raw.githubusercontent.com/Salah-XD/appCN/main/apps/web/registry.json,github,Salah-XD/appCN,https://github.com/Salah-XD/appCN,,MIT,3,0,2026-06-01T12:35:40+00:00,95,49,9,0,0,unknown,,,active,2026-08-01,2026-09-04,2026-09-04T08:29:02.622+00:00,,
appncy,appncy,https://github.com,https://raw.githubusercontent.com/goncy/create-appncy/main/registry.json,github,goncy/create-appncy,https://github.com/goncy/create-appncy,Create projects as Goncy would.,,118,13,2026-05-14T18:08:21+00:00,113,49,1,0,0,unknown,,,active,2026-08-01,2026-09-04,2026-09-04T08:26:33.326+00:00,,
approvals-ui,approvals-ui,https://approvals-ui.vercel.app,https://raw.githubusercontent.com/DylanMerigaud/approvals-ui/main/registry.json,github,DylanMerigaud/approvals-ui,https://github.com/DylanMerigaud/approvals-ui,"Approval workflow components for React Flow, distributed as a shadcn registry. Quorum gates, thresholds, policy lint, plain-language editing behind a human gate.",MIT,14,0,2026-08-14T18:05:43+00:00,21,86,6,0,0,unknown,,,active,2026-08-19,2026-09-04,2026-09-04T08:28:07.773+00:00,,
