builder_slug,supports,claim,kind,source_url,source_title,source_date,quote,link_status,link_checked_at
flutterflow,export,Code export and GitHub push are documented features.,vendor-doc,https://docs.flutterflow.io/exporting/push-to-github,Exporting Code — FlutterFlow Docs,2026-08-01,,,
flutterflow,submission,Deployment to the App Store is a documented part of the product.,vendor-doc,https://docs.flutterflow.io/deployment/deploy-to-app-store,Deploy to App Store — FlutterFlow Docs,2026-08-01,,,
flutterflow,review,A paid Apple Developer account is required for App Store publishing across builders of this class.,third-party-report,https://bilt.me/blog/no-code-ios-app-builder,Best no-code iOS app builders (2026) — Bilt,2026-01-01,,,
flutterflow,pricing,Free tier at $0; Basic — the tier that unlocks source download — is $39/month.,vendor-marketing,https://flutterflow.io/pricing,Pricing — FlutterFlow,2026-08-13,"Free $0 Build & test your app … Basic $39/month Download project source code or APK … Growth $80 1st seat/mo, $55 2nd seat … Business $150 1st seat/mo, $85 seats 2-5",,
goodbarber,review,The developer account used to submit must be the app content creator’s own.,vendor-doc,https://www.goodbarber.com/blog/app-store-4-2-6-rule-and-app-builders-a885/,App Store 4.2.6 rule and app builders — GoodBarber,2018-01-11,The developer account used to submit the app to the App Store must be that of the app's content creator.,,
goodbarber,review,Apple’s 4.2.6 text is unchanged in substance as of August 2026.,apple-guideline,https://developer.apple.com/app-store/review/guidelines/,App Store Review Guidelines — 4.2.6,2026-08-01,"Apps created from a commercialized template or app generation service will be rejected unless they are submitted directly by the provider of the app's content. These services should not submit apps on behalf of their clients and should offer tools that let their clients create customized, innovative apps that provide unique customer experiences.",,
goodbarber,pricing,"No free tier — a 30-day trial, then from $30/month for app plans, $40 for eCommerce and $215 for the reseller programme.",vendor-marketing,https://www.goodbarber.com/pricing/,Pricing — GoodBarber,2026-08-13,Starting from $30 /month Free 30-day trial - No credit card required … Starting from $40 /month … Starting from $215 /month,,
lovable,output,Lovable builds web applications and does not generate React Native projects.,vendor-doc,https://docs.lovable.dev/introduction/faq,Lovable Docs — FAQ,2026-08-01,"Lovable builds web applications, and you can design them to be fully mobile friendly. Lovable does not generate React Native projects.",,
lovable,submission,"Reaching the App Store requires a third-party wrapper such as Capacitor, or shipping as a PWA instead.",vendor-doc,https://docs.lovable.dev/introduction/faq,Lovable Docs — FAQ,2026-08-01,,,
lovable,review,A repackaged website is the exact case guideline 4.2 is written against.,apple-guideline,https://developer.apple.com/app-store/review/guidelines/,App Store Review Guidelines — 4.2 Minimum Functionality,2026-08-01,"Your app should include features, content, and UI that elevate it beyond a repackaged website. If your app is not particularly useful, unique, or ""app-like,"" it doesn't belong on the App Store.",,
lovable,pricing,"Free is $0/month and Pro is $25/month with 100 monthly credits — figures the page renders client-side, so no amount is present in the served HTML.",vendor-marketing,https://lovable.dev/pricing,Pricing — Lovable,2026-08-15,$25 / month 100 monthly credits,,
median,output,Median packages a live web app into a native binary and adds native features such as push notifications.,vendor-doc,https://median.co/blog/how-to-convert-your-lovable-app-to-a-mobile-app-and-publish,How to publish a Lovable app to the App Store and Google Play — Median.co,2026-01-01,,,
median,review,Apple’s minimum functionality rule targets binaries that do not elevate beyond a repackaged website.,apple-guideline,https://developer.apple.com/app-store/review/guidelines/,App Store Review Guidelines — 4.2 Minimum Functionality,2026-08-01,"Your app should include features, content, and UI that elevate it beyond a repackaged website. If your app is not particularly useful, unique, or ""app-like,"" it doesn't belong on the App Store.",,
median,pricing,"Business is priced at $7,200/yr for fully managed apps, with Enterprise at ""contact us for pricing"". A plain fetch is still refused — Cloudflare answers 403 with a challenge — so the page has to be read with a real browser, which is what the re-verify now does.",vendor-marketing,https://median.co/pricing,Pricing — Median.co,2026-09-02,"Business starting at $7,200/yr",,
replit,submission,Replit prepares the app and guides submission; the developer account and the App Review are yours.,vendor-doc,https://replit.com/mobile-apps,Replit Mobile Apps — Idea to Mobile App in Minutes,2026-08-01,,,
replit,output,The mobile stack is React Native and Expo.,vendor-doc,https://docs.replit.com/learn/mobile/expo,Build mobile apps with Expo — Replit Docs,2026-08-01,,,
replit,review,"Replit’s mobile launch was reported as offering a direct, guided path to the App Store.",third-party-report,https://www.vktr.com/ai-news/replit-launches-mobile-app-builder-with-direct-app-store-path/,Replit Launches Mobile App Builder With Direct App Store Path — VKTR,2026-02-01,,,
replit,pricing,"Free Starter tier; Replit Core is $20/month, or $18/month billed annually.",vendor-marketing,https://replit.com/pricing,Pricing — Replit,2026-08-15,"Core $20 $18 / month, billed annually",,
rork,review,Rork markets App Store shipping as the product’s outcome.,vendor-marketing,https://rork.com/,Rork — homepage,2026-08-01,"Create mobile apps by chatting with AI, ship to App Store and start making money.",,
rork,output,Output is React Native on Expo; Rork Max produces native Swift.,third-party-report,https://www.nocode.mba/articles/rork-ai-review-2026,Rork AI Review 2026 — No Code MBA,2026-01-01,,,
rork,export,"The React Native source can be exported free, including via GitHub sync when automated publishing fails.",third-party-report,https://www.nocode.mba/articles/rork-tutorial-ai-apps,Rork AI Review & Tutorial 2026 — No Code MBA,2026-01-01,,,
rork,pricing,Free is design mode only; building starts at $20/mo (Pro) and iOS starts at $200/mo (Max).,vendor-marketing,https://rork.com/pricing,Rork — Pricing,2026-08-15,"35 design credits/mo, max 5/day",,
thunkable,submission,Thunkable publishes directly to the App Store.,third-party-report,https://www.adalo.com/posts/thunkable-vs-flutterflow/,Thunkable vs. FlutterFlow vs. Adalo — Adalo,2026-01-01,,,
thunkable,review,Apps are reported to be unpublished from the store when a subscription ends.,third-party-report,https://bilt.me/blog/no-code-ios-app-builder,Best no-code iOS app builders (2026) — Bilt,2026-01-01,,,
thunkable,review,A service submitting on a client’s behalf is the arrangement 4.2.6 rejects.,apple-guideline,https://developer.apple.com/app-store/review/guidelines/,App Store Review Guidelines — 4.2.6,2026-08-01,"Apps created from a commercialized template or app generation service will be rejected unless they are submitted directly by the provider of the app's content. These services should not submit apps on behalf of their clients and should offer tools that let their clients create customized, innovative apps that provide unique customer experiences.",,
thunkable,pricing,"Paid tiers start at $18/month (yearly) or $19 (monthly), but a live published app first appears on the $37/$59 Builder tier.",vendor-marketing,https://thunkable.com/pricing,Pricing — Thunkable,2026-08-13,"Accelerator $18 $19 /month … 20,000 AI tokens 5 Public Projects 1 Private Project 10 Screens Per Project … Builder $37 $59 /month … 1 Live Published App",,
vibecode,submission,You must hold your own Apple Developer Program membership.,vendor-doc,https://www.vibecodeapp.com/docs/getting-started/deploy-app-store,Deploy to App Store — Vibecode Docs,2026-08-01,You'll need the following before submitting your app: 1. Apple Developer Program Membership ($99/year),,
vibecode,output,Builds are produced by Expo Launch.,vendor-doc,https://www.vibecodeapp.com/docs/getting-started/deploy-app-store,Deploy to App Store — Vibecode Docs,2026-08-01,Vibecode uses Expo Launch to start the App Store build flow.,,
vibecode,review,A preflight check scans for the mechanical problems that cause Apple to reject a submission.,vendor-doc,https://www.vibecodeapp.com/docs/getting-started/deploy-app-store,Deploy to App Store — Vibecode Docs,2026-08-01,common issues that could cause Apple to reject it,,
vibecode,pricing,Plus is $20 /month and lists App Store submission — but only in a rendered browser: the served HTML carries the credit model and the billing toggle and no tier figure.,vendor-marketing,https://www.vibecodeapp.com/pricing,Pricing — Vibecode,2026-08-15,"Our pricing tiers are experimental and may evolve … $1 in credits on Vibecode = $1 in AI usage on Anthropic, OpenAI, etc.",,
