slug,name,layer,vendor,homepage,pricing_url,docs_url,github_full_name,openrouter_app_slug,status,status_note,status_changed_on,acquired_by,default_model,default_model_note,byo_key,open_source,license,pricing_model,description,tags,gh_stars,gh_forks,gh_archived,gh_pushed_at,gh_days_since_push,gh_maintenance,gh_dead,gh_star_delta_30d,or_rank,or_tokens_week,last_pricing_check,last_change_at,curated_on
continue,Continue,ide_extension,Continue,https://continue.dev,,https://docs.continue.dev,continuedev/continue,,acquired,"continue.dev now reads ""Continue has joined Cursor · Continue was acquired by Cursor"" and the pricing page is gone. The Apache-2.0 repository is still public and was still being pushed to on 2 August 2026. No announcement date is published, so the date here is when it was first observed.",2026-08-02,Cursor,,,true,true,Apache-2.0,hybrid,"Open-source, configurable IDE assistant for VS Code and JetBrains. Acquired by Cursor; the open-source codebase remains available.","[""vscode"",""jetbrains"",""open-source"",""byo-key""]",35754,5328,false,2026-09-03T13:51:41+00:00,0,100,false,498,,,,2026-09-04T09:51:10.893+00:00,2026-08-02
cursor,Cursor,ide,Anysphere,https://cursor.com,https://cursor.com/pricing,https://cursor.com/docs,,,active,,,,,Multi-model: Cursor routes across frontier models and its own Composer model rather than committing to one default.,true,false,,subscription,VS Code fork built around whole-codebase agentic editing.,"[""agent"",""vscode-fork"",""multi-model""]",,,,,,,,,,,2026-09-04T09:50:21.239+00:00,,2026-08-09
devin,Devin,cloud_agent,Cognition,https://devin.ai,https://devin.ai/pricing,https://docs.devin.ai,,,active,,,,,"Not disclosed. Billed in ACUs (agent compute units), which is what makes cost-per-task comparisons hard.",false,false,,credits,The enterprise cloud agent. Priced in agent compute units rather than seats or tokens.,"[""cloud"",""enterprise"",""acu""]",,,,,,,,,,,2026-09-04T09:50:31.556+00:00,2026-08-02T20:47:03.421+00:00,2026-08-02
factory-ai,Factory AI,cloud_agent,Factory,https://factory.ai,https://factory.ai/pricing,https://docs.factory.ai,,,active,,,,,,false,false,,subscription,"Enterprise ""Droids"" for delegated engineering work. No public revenue figures.","[""cloud"",""enterprise""]",,,,,,,,,,,2026-09-04T09:50:33.355+00:00,2026-08-29T09:51:10.476+00:00,2026-08-02
figma-make,Figma Make,design_to_code,Figma,https://figma.com/make,https://figma.com/pricing,https://help.figma.com,,,active,,,,,,false,false,,subscription,"Figma’s in-canvas prompt-to-app feature, sold inside Figma seats.","[""design"",""figma""]",,,,,,,,,,,2026-09-04T09:50:42.9+00:00,2026-09-04T09:51:10.893+00:00,2026-08-02
firebase-studio,Firebase Studio,app_builder,Google,https://firebase.studio,https://firebase.google.com/pricing,https://firebase.google.com/docs/studio,,,sunset,"firebase.studio carries a banner: ""We're sunsetting Firebase Studio on March 22, 2027 so you can no longer create new workspaces. Move your code to Google AI Studio or Google Antigravity."" Still usable until then, but it is not a tool to start a project on.",2026-08-02,,google/gemini,,false,false,,hybrid,"Google's agentic app workspace, wired to the Firebase backend. Sunsetting 22 March 2027.","[""no-code"",""google"",""firebase""]",,,,,,,,,,,2026-09-04T09:50:39.358+00:00,2026-09-04T09:51:10.893+00:00,2026-08-02
gemini-cli,Gemini CLI,cli_agent,Google,https://github.com/google-gemini/gemini-cli,https://ai.google.dev/pricing,https://github.com/google-gemini/gemini-cli,google-gemini/gemini-cli,,sunset,"Free consumer access ended 18 June 2026; users were directed to Google Antigravity. The tool still exists for API-key and paid use, so this is a withdrawn access tier rather than a shutdown — a distinction almost every ranked page gets wrong.",2026-06-18,,google/gemini,,true,true,Apache-2.0,usage,Google's open-source terminal agent. Consumer free tier withdrawn in June 2026.,"[""terminal"",""agent"",""google"",""open-source""]",106810,14527,false,2026-09-04T01:40:22+00:00,0,100,false,521,,,2026-09-04T09:50:26.631+00:00,2026-09-04T09:51:10.893+00:00,2026-08-02
github-copilot,GitHub Copilot,ide,GitHub (Microsoft),https://github.com/features/copilot,https://github.com/features/copilot/plans,https://docs.github.com/copilot,,,active,,,,,"Model picker across OpenAI, Anthropic and Google models; the default has changed repeatedly and is not published as a stable fact.",false,false,,subscription,"The incumbent inline-completion and chat assistant, bundled into VS Code and the JetBrains IDEs.","[""completion"",""chat"",""enterprise""]",,,,,,,,,,,2026-09-04T09:50:20.399+00:00,2026-09-02T09:51:39.069+00:00,2026-08-02
google-antigravity,Google Antigravity,ide,Google,https://antigravity.google,https://antigravity.google,https://antigravity.google/docs,,,active,,,,google/gemini,Gemini-family default. Absorbed the Gemini CLI consumer base when free CLI access ended.,false,false,,subscription,"Google's agent-first IDE, and the destination Google pushed Gemini CLI's free users toward.","[""agent"",""google""]",,,,,,,,,,,2026-09-04T09:50:21.819+00:00,,2026-08-02
jules,Jules,cloud_agent,Google,https://jules.google,https://jules.google,https://jules.google/docs,,,active,,,,google/gemini,,false,false,,subscription,Google's asynchronous coding agent. Out of beta; no public usage numbers.,"[""cloud"",""google""]",,,,,,,,,,,2026-09-04T09:50:32.587+00:00,,2026-08-02
kilo-code,Kilo Code,ide_extension,Kilo,https://kilo.ai,https://kilo.ai/pricing,https://kilo.ai/docs,Kilo-Org/kilocode,kilo-code,active,,,,,Bring-your-own key or Kilo credits; no bundled default.,true,true,Apache-2.0,hybrid,"A merge-fork of Cline and Roo Code, and among the highest-volume coding tools on OpenRouter.","[""vscode"",""byo-key"",""open-source"",""fork""]",27171,3119,false,2026-09-04T09:42:13+00:00,0,100,false,515,8,2562816979319,2026-09-04T09:50:34.711+00:00,2026-08-26T09:51:09.795+00:00,2026-08-09
kiro,Kiro,ide,AWS,https://kiro.dev,https://kiro.dev/pricing,https://kiro.dev/docs,,,active,,,,,Anthropic models via AWS.,false,false,,subscription,Spec-driven agentic IDE from AWS: the agent writes requirements and design docs before code.,"[""aws"",""spec-driven""]",,,,,,,,,,,2026-09-04T09:50:23.117+00:00,2026-08-11T09:51:08.038+00:00,2026-08-02
lovable,Lovable,app_builder,Lovable,https://lovable.dev,https://lovable.dev/pricing,https://docs.lovable.dev,,,active,,,,,"Not disclosed. Credits, not tokens, are the billing unit.",false,false,,credits,Prompt-to-app builder that said it passed $200M ARR in November 2025. Supabase is the native backend default.,"[""no-code"",""credits"",""supabase""]",,,,,,,,,,,2026-09-04T09:50:36.467+00:00,2026-08-02T20:47:03.421+00:00,2026-08-09
magic-patterns,Magic Patterns,design_to_code,Magic Patterns,https://magicpatterns.com,https://magicpatterns.com/pricing,https://docs.magicpatterns.com,,,active,,,,,,false,false,,subscription,Prototyping tool aimed at product teams rather than engineers.,"[""design"",""prototyping""]",,,,,,,,,,,2026-09-04T09:50:45.311+00:00,,2026-08-02
onlook,Onlook,design_to_code,Onlook,https://onlook.com,https://onlook.com/pricing,https://docs.onlook.com,onlook-dev/onlook,,active,,,,,,true,true,Apache-2.0,hybrid,Open-source visual editor that writes back into a real React codebase.,"[""design"",""react"",""open-source""]",26633,2089,false,2026-08-25T01:06:22+00:00,10,92,false,258,,,2026-09-04T09:50:44.346+00:00,,2026-08-02
opencode,opencode,cli_agent,SST,https://opencode.ai,https://opencode.ai,https://opencode.ai/docs,anomalyco/opencode,,active,,,,,"Provider-agnostic across 75+ providers; the user picks. This is why its model mix tracks price, not brand.",true,true,MIT,free,Provider-agnostic open-source terminal agent. The largest OSS star count in the ecosystem.,"[""terminal"",""agent"",""open-source"",""byo-key""]",203682,26578,false,2026-09-04T09:43:16+00:00,0,100,false,11784,,,2026-09-04T09:50:26.051+00:00,,2026-08-09
openrouter,OpenRouter,model_router,OpenRouter,https://openrouter.ai,https://openrouter.ai/models,https://openrouter.ai/docs,,,active,,,,,,true,false,,usage,"The default bring-your-own-key routing layer, and the source of this project’s usage data.","[""router"",""infra""]",,,,,,,,,,,2026-09-04T09:50:46.584+00:00,2026-09-04T09:51:10.893+00:00,2026-08-02
replit-agent,Replit Agent,app_builder,Replit,https://replit.com,https://replit.com/pricing,https://docs.replit.com,,,active,,,,,,false,false,,credits,Prompt-to-app inside a full hosted development environment.,"[""no-code"",""hosting"",""credits""]",,,,,,,,,,,2026-09-04T09:50:37.101+00:00,2026-08-26T09:51:09.795+00:00,2026-08-02
roo-code,Roo Code,ide_extension,Roo,https://roocode.com,,https://roocodeinc.github.io/Roo-Code/,RooCodeInc/Roo-Code,roo-code,archived,"Repository archived 15 May 2026; the team pivoted to a separate product. It had roughly 1.56M installs at the point it stopped, which is why so many still-ranking ""Cline vs Roo Code"" pages now give an answer that cannot be acted on.",2026-05-15,,,,true,true,Apache-2.0,free,"Archived VS Code agent extension. Large install base, development stopped.","[""vscode"",""byo-key"",""archived""]",24312,3415,true,2026-05-15T18:08:47+00:00,111,0,true,-50,,,,2026-09-04T09:51:10.893+00:00,2026-08-09
rork,Rork,mobile,Rork,https://rork.com,https://rork.com/pricing,https://rork.com,,,active,,,,,,false,false,,credits,Prompt-to-mobile-app builder on React Native and Expo.,"[""mobile"",""expo"",""react-native"",""credits""]",,,,,,,,,,,2026-09-04T09:50:40.352+00:00,,2026-08-02
subframe,Subframe,design_to_code,Subframe,https://subframe.com,https://www.subframe.com/#pricing,https://docs.subframe.com,,,active,,,,,,false,false,,subscription,Design tool that ships an MCP server so coding agents can drive it directly.,"[""design"",""mcp""]",,,,,,,,,,,2026-09-04T09:50:45.949+00:00,2026-08-02T20:47:03.421+00:00,2026-08-02
trae,Trae,ide,ByteDance,https://trae.ai,https://trae.ai/pricing,https://docs.trae.ai,,,active,,,,,,false,false,,subscription,ByteDance AI IDE. No credible independent usage data has been published.,"[""bytedance""]",,,,,,,,,,,2026-09-04T09:50:23.882+00:00,,2026-08-02
v0,v0,app_builder,Vercel,https://v0.app,https://v0.app/pricing,https://v0.app/docs,,,active,,,,,Vercel-hosted models; the composer model is not published as a stable identifier.,false,false,,credits,"Vercel’s prompt-to-UI tool, distributed through the Vercel platform.","[""ui"",""react"",""vercel"",""credits""]",,,,,,,,,,,2026-09-04T09:50:38.806+00:00,2026-08-02T20:47:03.421+00:00,2026-08-02
vibecode,Vibecode,mobile,Vibecode,https://vibecodeapp.com,https://vibecodeapp.com,https://vibecodeapp.com,,,active,,,,,Pluggable models.,true,false,,credits,Mobile app builder with pluggable models and on-device testing over QR.,"[""mobile"",""expo"",""react-native""]",,,,,,,,,,,2026-09-04T09:50:40.899+00:00,,2026-08-02
windsurf,Windsurf,ide,Cognition,https://windsurf.com,,https://docs.devin.ai/desktop/getting-started,,,acquired,"Acquired by Cognition in 2025 after the Google deal took the founding team; $82M ARR at acquisition. Every ""Cursor vs Windsurf"" page written before the acquisition describes a company that no longer exists independently.",2025-07-14,Cognition,,SWE-1 family plus frontier models.,false,false,,subscription,"Agent-first IDE, formerly Codeium. Now a Cognition property alongside Devin.","[""agent"",""vscode-fork"",""acquired""]",,,,,,,,,,,,2026-09-04T09:51:10.892+00:00,2026-08-02
zed,Zed,ide,Zed Industries,https://zed.dev,https://zed.dev/pricing,https://zed.dev/docs,zed-industries/zed,,active,,,,,Bring-your-own key or Zed-hosted credits; no single bundled default.,true,true,GPL-3.0,hybrid,"Rust-native editor with an agent panel. Free to use, open source, paid hosted inference.","[""rust"",""open-source"",""byo-key""]",89749,10434,false,2026-09-04T09:36:35+00:00,0,94,false,1881,,,2026-09-04T09:50:22.504+00:00,2026-08-02T20:47:03.42+00:00,2026-08-02
