service_slug,plan_slug,name,rank,base_monthly_usd,price_status,included,restrictions,notes,source_url,probes,check_status,verified_at,last_checked_at,last_check_note
digitalocean-app,starter,Starter,0,0,published,"{""bandwidth_gb"":1}",{},Static sites only on the free tier.,https://www.digitalocean.com/pricing/app-platform,"[""$0""]",verified,2026-09-04T06:20:18.974+00:00,2026-09-04T06:20:18.974+00:00,
digitalocean-app,basic,Basic,1,5,published,"{""bandwidth_gb"":100}",{},"From $5/month per container, with bandwidth billed above the included allowance.",https://www.digitalocean.com/pricing/app-platform,"[""$5"",""$0.02""]",verified,2026-09-04T06:20:19.095+00:00,2026-09-04T06:20:19.095+00:00,
digitalocean-app,professional,Professional,2,12,published,"{""bandwidth_gb"":100}",{},Adds autoscaling and larger container sizes.,https://www.digitalocean.com/pricing/app-platform,"[""$12.00"",""$25.00""]",verified,2026-09-04T06:20:19.22+00:00,2026-09-04T06:20:19.22+00:00,
dodo-payments,standard,Standard,0,0,usage_only,{},{},"Add 1.5% for international cards. Disputes are $30, refunds $1.",https://dodopayments.com/pricing,"[""4% + 40¢"",""+1.5%"",""$30 per dispute""]",verified,2026-09-04T06:20:16.378+00:00,2026-09-04T06:20:16.378+00:00,
firebase,spark,Spark,0,0,published,"{""mau"":50000,""inv_1m"":0,""egress_gb"":30,""storage_gb"":5}",{},No-cost quotas are enforced daily and reset at midnight.,https://firebase.google.com/pricing,"[""No-cost up to 50K MAUs"",""No-cost up to 5 GB""]",verified,2026-09-04T06:20:11.11+00:00,2026-09-04T06:20:11.11+00:00,
firebase,blaze,Blaze,1,0,usage_only,"{""mau"":50000,""egress_gb"":30,""storage_gb"":5}",{},Pay as you go on top of the Spark no-cost quotas.,https://firebase.google.com/pricing,"[""Then $0.026/GB"",""Then $0.12/GB"",""Then $0.40/million""]",verified,2026-09-04T06:20:11.237+00:00,2026-09-04T06:20:11.237+00:00,
fly-io,pay-as-you-go,Pay as you go,0,0,usage_only,"{""egress_gb"":10}",{},"No monthly platform fee; you pay for machines, volumes and egress.",https://fly.io/docs/about/pricing/,"[""$0.15/GB per month"",""$0.08/GB per month"",""First 10GB free each month""]",verified,2026-09-04T06:20:18.596+00:00,2026-09-04T06:20:18.596+00:00,
gumroad,standard,Standard,0,0,usage_only,{},{},Rises to 30% on sales Gumroad sources through its own discovery.,https://gumroad.com/pricing,"[""10% + $0.50""]",verified,2026-09-04T06:20:16.507+00:00,2026-09-04T06:20:16.507+00:00,
kinde,free,Free,0,0,published,"{""mau"":10500}",{},"Free to 10,500 monthly active users.",https://kinde.com/pricing/,"[""$0""]",verified,2026-09-04T06:20:14.81+00:00,2026-09-04T06:20:14.81+00:00,
kinde,plus,Plus,1,25,published,"{""mau"":10500}",{},Per-MAU rate steps down with volume.,https://kinde.com/pricing/,"[""$25"",""$0.0175"",""$0.0163"",""$0.0151""]",verified,2026-09-04T06:20:14.932+00:00,2026-09-04T06:20:14.932+00:00,
kinde,scale,Scale,2,75,published,"{""mau"":10500}",{},Adds enterprise connections and higher org limits.,https://kinde.com/pricing/,"[""$75"",""$0.0163""]",verified,2026-09-04T06:20:15.055+00:00,2026-09-04T06:20:15.055+00:00,
lemon-squeezy,standard,Standard,0,0,usage_only,{},{},Acquired by Stripe in 2024. No monthly fee.,https://www.lemonsqueezy.com/pricing,"[""5% + 50¢"",""$0/m""]",verified,2026-09-04T06:20:15.618+00:00,2026-09-04T06:20:15.618+00:00,
mongodb-atlas,free,Free (M0),0,0,published,"{""db_gb"":0.5}",{},"Shared cluster, 512 MB storage, no dedicated resources.",https://www.mongodb.com/pricing,"[""$0""]",verified,2026-09-04T06:20:12.828+00:00,2026-09-04T06:20:12.828+00:00,
mongodb-atlas,flex,Flex,1,8,published,"{""db_gb"":5}",{},"Usage-based from $8/mo, capped around $30/mo before a dedicated tier is cheaper.",https://www.mongodb.com/pricing,"[""$8"",""$30""]",verified,2026-09-04T06:20:12.962+00:00,2026-09-04T06:20:12.962+00:00,
mongodb-atlas,dedicated,Dedicated (M10),2,56.94,published,"{""db_gb"":10}",{},"Entry dedicated cluster, priced hourly and billed monthly.",https://www.mongodb.com/pricing,"[""$56.94"",""$0.20""]",verified,2026-09-04T06:20:13.086+00:00,2026-09-04T06:20:13.086+00:00,
neon,free,Free,0,0,published,"{""db_gb"":0.5,""egress_gb"":5}",{},"Compute suspends when idle, which is what keeps the free plan usable.",https://neon.com/pricing,"[""$0 /month""]",verified,2026-09-04T06:20:11.55+00:00,2026-09-04T06:20:11.55+00:00,
neon,launch,Launch,1,0,usage_only,"{""db_gb"":10,""egress_gb"":500}",{},No base fee — billed purely on usage. Neon quotes a typical spend of about $15/mo on this plan once compute is counted.,https://neon.com/pricing,"[""$0.106 per CU-hour"",""$0.35 per GB-month"",""$0.002 per branch-hour"",""Neon's paid plans don't require a minimum monthly spend or base fee""]",verified,2026-09-04T06:20:11.673+00:00,2026-09-04T06:20:11.673+00:00,
neon,scale,Scale,2,0,usage_only,"{""db_gb"":50,""egress_gb"":500}",{},No base fee — billed purely on usage. Adds higher compute ceilings and longer point-in-time restore; Neon quotes a typical spend of about $701/mo on this plan.,https://neon.com/pricing,"[""$0.222 per CU-hour"",""$0.35 per GB-month"",""Neon's paid plans don't require a minimum monthly spend or base fee""]",verified,2026-09-04T06:20:11.798+00:00,2026-09-04T06:20:11.798+00:00,
netlify,free,Free,0,0,published,"{""credit_usd"":0,""bandwidth_gb"":100}",{},Free and unlimited Git contributors on public repos.,https://www.netlify.com/pricing/,"[""$0 forever""]",verified,2026-09-04T06:20:16.88+00:00,2026-09-04T06:20:16.88+00:00,
netlify,personal,Personal,1,9,published,"{""bandwidth_gb"":100}",{},$9/month for one member.,https://www.netlify.com/pricing/,"[""$9 /month"",""$5 / 500 additional credits""]",verified,2026-09-04T06:20:17.006+00:00,2026-09-04T06:20:17.006+00:00,
netlify,pro,Pro,2,20,published,"{""bandwidth_gb"":1000}",{},$20/month for unlimited members.,https://www.netlify.com/pricing/,"[""$20 /month"",""$10 / 1,500 additional credits""]",verified,2026-09-04T06:20:17.138+00:00,2026-09-04T06:20:17.138+00:00,
paddle,standard,Standard,0,0,usage_only,{},{},Products under $10 need custom pricing. Effective rate rises to ~7%+ with add-ons.,https://www.paddle.com/pricing,"[""5% + 50¢"",""products under $10""]",verified,2026-09-04T06:20:15.491+00:00,2026-09-04T06:20:15.491+00:00,
planetscale,postgres,PlanetScale Postgres,1,15,published,"{""db_gb"":10,""egress_gb"":100}",{},Single-node from $5/mo; Metal with local NVMe from $50/mo. 100 GB egress included.,https://planetscale.com/pricing,"[""$15"",""$0.06 / GB""]",verified,2026-09-04T06:20:11.933+00:00,2026-09-04T06:20:11.933+00:00,
polar,starter,Starter,0,0,published,{},{},Add 1.5% for international (non-US) cards. Disputes cost $15 each regardless of outcome.,https://polar.sh/docs/merchant-of-record/fees,"[""5% + 50¢"",""$15 per dispute""]",verified,2026-09-04T06:20:15.742+00:00,2026-09-04T06:20:15.742+00:00,
polar,pro,Pro,1,20,published,{},{},"Polar puts the break-even against Starter at roughly $1,379/mo in sales.",https://polar.sh/docs/merchant-of-record/fees,"[""3.8% + 40¢"",""$20 /mo""]",verified,2026-09-04T06:20:15.872+00:00,2026-09-04T06:20:15.872+00:00,
polar,growth,Growth,2,100,published,{},{},"Break-even against Pro is quoted at about $5,634/mo in sales.",https://polar.sh/docs/merchant-of-record/fees,"[""3.6% + 35¢"",""$100 /mo""]",verified,2026-09-04T06:20:15.997+00:00,2026-09-04T06:20:15.997+00:00,
polar,scale,Scale,3,400,published,{},{},"Adds SSO. Break-even quoted at about $19,048/mo in sales.",https://polar.sh/docs/merchant-of-record/fees,"[""3.4% + 30¢"",""$400 /mo""]",verified,2026-09-04T06:20:16.124+00:00,2026-09-04T06:20:16.124+00:00,
propelauth,free,Free,0,0,published,"{""mau"":10000}",{},"Includes 10,000 monthly active users. No overage to buy — past 10,000 the plan is Growth.",https://www.propelauth.com/pricing,"[""Includes 10,000 MAUs"",""What if I go over 10000 active users on the Free plan?""]",verified,2026-09-04T06:20:19.344+00:00,2026-09-04T06:20:19.344+00:00,
propelauth,growth,Growth,1,150,published,"{""mau"":10000}",{},"$150/month including 10,000 monthly active users, then $0.05 per additional user.",https://www.propelauth.com/pricing,"[""150 /month"",""Includes 10,000 MAUs"",""$0.05 per user"",""$100/connection""]",verified,2026-09-04T06:20:15.18+00:00,2026-09-04T06:20:15.18+00:00,
propelauth,growth-plus,Growth Plus,2,500,published,"{""mau"":10000}",{},$500/month. Adds the enterprise-readiness tier on top of Growth.,https://www.propelauth.com/pricing,"[""500 /month"",""Includes everything in Growth""]",verified,2026-09-04T06:20:19.463+00:00,2026-09-04T06:20:19.463+00:00,
railway,trial,Trial,0,1,published,"{""storage_gb"":0.5}",{},"30-day trial with $5 of credits, then $1/month. Capped at 0.5 GB of volume storage with no overage to buy — past that the plan is Hobby, not this one.",https://railway.com/pricing,"[""$1 per month"",""0.5 GB of volume storage""]",verified,2026-09-04T06:20:17.26+00:00,2026-09-04T06:20:17.26+00:00,
railway,hobby,Hobby,1,5,published,"{""credit_usd"":5}",{},"The $5 is a minimum, not a floor on top of usage — it includes $5 of usage credit.",https://railway.com/pricing,"[""$5 minimum usage"",""$0.05 per GB for services""]",verified,2026-09-04T06:20:17.384+00:00,2026-09-04T06:20:17.384+00:00,
railway,pro,Pro,2,20,published,"{""credit_usd"":20}",{},Includes $20 of monthly usage credit and adds team features.,https://railway.com/pricing,"[""$20 minimum usage""]",verified,2026-09-04T06:20:17.508+00:00,2026-09-04T06:20:17.508+00:00,
render,hobby,Hobby,0,0,published,"{""bandwidth_gb"":5}",{},Free instances spin down when idle and cold-start on the next request. 5 GB of bandwidth a month is included; past that Render bills $0.15/GB.,https://render.com/pricing,"[""$0 /mo"",""5 GB of bandwidth included"",""then $0.15 per GB""]",verified,2026-09-04T06:20:17.631+00:00,2026-09-04T06:20:17.631+00:00,
render,professional,Professional,1,25,published,"{""seats"":1}",{},"$25/user/month, then instances on top: Starter $7, Standard $25, Pro $85.",https://render.com/pricing,"[""$25 /mo"",""Starter $7/month"",""Standard $25/month"",""$0.25/GB""]",drifted,2026-08-26T06:20:15.737+00:00,2026-09-04T06:20:17.767+00:00,no longer on page: Starter $7/month | Standard $25/month
render,organization,Organization,2,499,published,"{""seats"":1}",{},"Adds SOC 2, audit logs and priority support.",https://render.com/pricing,"[""$499 /mo""]",verified,2026-09-04T06:20:18.473+00:00,2026-09-04T06:20:18.473+00:00,
stripe,standard,Standard,0,0,usage_only,{},{},Domestic cards. Add 1.5% for international cards and 1% for currency conversion. Tax handling is a separate 0.5% via Stripe Tax.,https://stripe.com/pricing,"[""2.9% + 30¢"",""1.5%"",""0.5%""]",verified,2026-09-04T06:20:15.304+00:00,2026-09-04T06:20:15.304+00:00,
stytch,pay-as-you-go,Pay as you go,0,0,published,"{""mau"":10000}",{},"Free to 10,000 MAU with 5 SSO/SCIM connections included.",https://stytch.com/pricing,"[""10,000 monthly active users"",""$125/connection"",""$.005/fingerprint""]",verified,2026-09-04T06:20:14.69+00:00,2026-09-04T06:20:14.69+00:00,
supabase,free,Free,0,0,published,"{""mau"":50000,""db_gb"":0.5,""egress_gb"":5,""storage_gb"":1}",{},Two active projects. Projects pause after one week of inactivity.,https://supabase.com/pricing,"[""50,000 monthly active users"",""5 GB egress""]",verified,2026-09-04T06:20:10.455+00:00,2026-09-04T06:20:10.455+00:00,
supabase,pro,Pro,1,25,published,"{""mau"":100000,""db_gb"":8,""egress_gb"":250,""storage_gb"":100}",{},"Includes $10/mo of compute credit, enough for one Micro instance.",https://supabase.com/pricing,"[""$25"",""$0.00325"",""$0.09"",""$0.125"",""$0.0213""]",verified,2026-09-04T06:20:10.65+00:00,2026-09-04T06:20:10.65+00:00,
supabase,team,Team,2,599,published,"{""mau"":100000,""db_gb"":8,""egress_gb"":250,""storage_gb"":100}",{},"Adds SOC2, SSO and a 14-day log retention window.",https://supabase.com/pricing,"[""$599""]",verified,2026-09-04T06:20:10.986+00:00,2026-09-04T06:20:10.986+00:00,
turso,free,Free,0,0,published,"{""db_gb"":5}",{},,https://turso.tech/pricing,"[""$0""]",verified,2026-09-04T06:20:12.318+00:00,2026-09-04T06:20:12.318+00:00,
turso,starter,Starter,1,4.99,published,"{""db_gb"":10}",{},,https://turso.tech/pricing,"[""$4.99"",""+ $0.75 / GB""]",verified,2026-09-04T06:20:12.444+00:00,2026-09-04T06:20:12.444+00:00,
turso,growth,Growth,2,24.92,published,"{""db_gb"":100}",{},,https://turso.tech/pricing,"[""$24.92"",""+ $0.50 / GB""]",verified,2026-09-04T06:20:12.57+00:00,2026-09-04T06:20:12.57+00:00,
turso,scale,Scale,3,416.58,published,"{""db_gb"":500}",{},,https://turso.tech/pricing,"[""$416.58"",""+ $0.45 / GB""]",verified,2026-09-04T06:20:12.702+00:00,2026-09-04T06:20:12.702+00:00,
upstash,free,Free,0,0,published,"{""db_gb"":0.25}",{},,https://upstash.com/pricing,"[""$0""]",verified,2026-09-04T06:20:13.208+00:00,2026-09-04T06:20:13.208+00:00,
upstash,pay-as-you-go,Pay as you go,1,0,usage_only,"{""db_gb"":0.25}",{},Per-100K-command pricing with a monthly ceiling per database.,https://upstash.com/pricing,"[""$0.2"",""$0.25""]",verified,2026-09-04T06:20:13.327+00:00,2026-09-04T06:20:13.327+00:00,
upstash,fixed,Fixed,2,10,published,"{""db_gb"":3}",{},Flat monthly plans from $10 to $200 per database.,https://upstash.com/pricing,"[""$10"",""$200""]",verified,2026-09-04T06:20:13.457+00:00,2026-09-04T06:20:13.457+00:00,
vercel,hobby,Hobby,0,0,published,"{""req_1m"":1,""bandwidth_gb"":100}","{""commercial_use"":false}","Non-commercial use only, which rules it out the moment you charge for anything.",https://vercel.com/pricing,"[""$0 /mo.""]",verified,2026-09-04T06:20:16.633+00:00,2026-09-04T06:20:16.633+00:00,
vercel,pro,Pro,1,20,published,"{""seats"":1,""req_1m"":10,""credit_usd"":20,""bandwidth_gb"":1000}",{},"Includes $20/mo of usage credit, so the first $20 of metered usage is absorbed.",https://vercel.com/pricing,"[""$20 /mo."",""$0.15 per GB"",""$2 per 1M"",""$0.0212 per GB-hr""]",verified,2026-09-04T06:20:16.757+00:00,2026-09-04T06:20:16.757+00:00,
workos,authkit,AuthKit,0,0,published,"{""mau"":1000000}",{},"Free to 1,000,000 users, then $2,500/mo per additional million.",https://workos.com/pricing,"[""Up to 1 million users"",""$2,500 / mo""]",verified,2026-09-04T06:20:14.44+00:00,2026-09-04T06:20:14.44+00:00,
workos,authkit-sso,AuthKit + SSO,1,125,published,"{""mau"":1000000}",{},"One enterprise connection. Volume steps: 1–15 $125 each, 16–30 $100, 31–50 $80, 51–100 $65.",https://workos.com/pricing,"[""$125 / ea"",""$100 / ea"",""$80 / ea"",""$65 / ea""]",verified,2026-09-04T06:20:14.563+00:00,2026-09-04T06:20:14.563+00:00,
